"Plot Title: 32deg"
"#","Date Time, GMT+09:30","Temp, °C (LGR S/N: 10484773, SEN S/N: 10484773)","Intensity, Lux (LGR S/N: 10484773, SEN S/N: 10484773)","Coupler Detached (LGR S/N: 10484773)","Coupler Attached (LGR S/N: 10484773)"
114,06/13/14 09:04:06  PM,31.778,0.0,,
115,06/13/14 09:05:06  PM,31.778,0.0,,
116,06/13/14 09:06:06  PM,31.778,0.0,,
117,06/13/14 09:07:06  PM,31.778,0.0,,
118,06/13/14 09:08:06  PM,31.778,0.0,,
119,06/13/14 09:09:06  PM,31.778,0.0,,
120,06/13/14 09:10:06  PM,31.778,0.0,,
121,06/13/14 09:11:06  PM,31.778,0.0,,
122,06/13/14 09:12:06  PM,31.778,0.0,,
123,06/13/14 09:13:06  PM,31.880,0.0,,
124,06/13/14 09:14:06  PM,31.778,0.0,,
125,06/13/14 09:15:06  PM,31.880,0.0,,
126,06/13/14 09:16:06  PM,31.880,0.0,,
127,06/13/14 09:17:06  PM,31.880,0.0,,
128,06/13/14 09:18:06  PM,31.880,0.0,,
129,06/13/14 09:19:06  PM,31.880,0.0,,
130,06/13/14 09:20:06  PM,31.880,0.0,,
131,06/13/14 09:21:06  PM,31.880,0.0,,
132,06/13/14 09:22:06  PM,31.880,0.0,,
133,06/13/14 09:23:06  PM,31.880,0.0,,
134,06/13/14 09:24:06  PM,31.880,0.0,,
135,06/13/14 09:25:06  PM,31.880,0.0,,
136,06/13/14 09:26:06  PM,31.880,0.0,,
137,06/13/14 09:27:06  PM,31.880,0.0,,
138,06/13/14 09:28:06  PM,31.880,0.0,,
139,06/13/14 09:29:06  PM,31.880,0.0,,
140,06/13/14 09:30:06  PM,31.880,0.0,,
141,06/13/14 09:31:06  PM,31.880,0.0,,
142,06/13/14 09:32:06  PM,31.880,0.0,,
143,06/13/14 09:33:06  PM,31.880,0.0,,
144,06/13/14 09:34:06  PM,31.880,0.0,,
145,06/13/14 09:35:06  PM,31.880,0.0,,
146,06/13/14 09:36:06  PM,31.880,0.0,,
147,06/13/14 09:37:06  PM,31.880,0.0,,
148,06/13/14 09:38:06  PM,31.880,0.0,,
149,06/13/14 09:39:06  PM,31.880,0.0,,
150,06/13/14 09:40:06  PM,31.880,0.0,,
151,06/13/14 09:41:06  PM,31.880,0.0,,
152,06/13/14 09:42:06  PM,31.880,0.0,,
153,06/13/14 09:43:06  PM,31.880,0.0,,
154,06/13/14 09:44:06  PM,31.880,0.0,,
155,06/13/14 09:45:06  PM,31.880,0.0,,
156,06/13/14 09:46:06  PM,31.880,0.0,,
157,06/13/14 09:47:06  PM,31.880,0.0,,
158,06/13/14 09:48:06  PM,31.880,0.0,,
159,06/13/14 09:49:06  PM,31.880,0.0,,
160,06/13/14 09:50:06  PM,31.880,0.0,,
161,06/13/14 09:51:06  PM,31.880,0.0,,
162,06/13/14 09:52:06  PM,31.880,0.0,,
163,06/13/14 09:53:06  PM,31.880,0.0,,
164,06/13/14 09:54:06  PM,31.880,0.0,,
165,06/13/14 09:55:06  PM,31.880,0.0,,
166,06/13/14 09:56:06  PM,31.880,0.0,,
167,06/13/14 09:57:06  PM,31.880,0.0,,
168,06/13/14 09:58:06  PM,31.880,0.0,,
169,06/13/14 09:59:06  PM,31.880,0.0,,
170,06/13/14 10:00:06  PM,31.880,0.0,,
171,06/13/14 10:01:06  PM,31.880,0.0,,
172,06/13/14 10:02:06  PM,31.880,0.0,,
173,06/13/14 10:03:06  PM,31.880,0.0,,
174,06/13/14 10:04:06  PM,31.880,0.0,,
