Name,CL.1d_log2,CL.3d_log2,AH.1d_log2,AH.3d_log2,CL.1d,CL.3d,AH.1d,AH.3d
aug_v2a.20577,-0.522890878,NA,NA,NA,0,0,0,0
aug_v2a.01747,-0.52216689,NA,0.461715606,NA,0,0,0,0
aug_v2a.14661,-0.522094891,NA,NA,NA,0,0,0,0
aug_v2a.15347,-0.52145514,NA,NA,NA,0,0,0,0
aug_v2a.09731,-0.521392283,NA,-0.927315413,-0.733467947,0,0,1,1
aug_v2a.20800,-0.521193184,NA,NA,NA,0,0,0,0
aug_v2a.14126,-0.520231367,NA,NA,NA,0,0,0,0
aug_v2a.02654,-0.520204271,NA,-0.407817344,NA,0,0,0,0
aug_v2a.12956,-0.519814241,-0.538348006,-0.905033237,-0.707713617,0,0,1,1
aug_v2a.18407,-0.519728809,NA,-0.549264293,-0.427558951,0,0,0,0
aug_v2a.07818,-0.519148417,NA,-0.542709862,NA,0,0,0,0
aug_v2a.10502,-0.518355886,NA,-0.706929563,NA,0,0,1,0
aug_v2a.13043,-0.517178735,NA,-0.839181769,-0.507683719,0,0,1,0
aug_v2a.12292,-0.517150877,NA,-0.475499674,NA,0,0,0,0
aug_v2a.18262,-0.517076208,-0.363610671,NA,NA,0,0,0,0
aug_v2a.22071,-0.516508872,NA,NA,NA,0,0,0,0
aug_v2a.12537,-0.516254089,NA,NA,NA,0,0,0,0
aug_v2a.19715,-0.515881762,NA,NA,NA,0,0,0,0
aug_v2a.01023,-0.515746217,NA,-0.407669776,NA,0,0,0,0
aug_v2a.10507,-0.514842238,NA,NA,NA,0,0,0,0
aug_v2a.12339,-0.514382896,NA,NA,NA,0,0,0,0
aug_v2a.04654,-0.514008024,-0.406023312,NA,NA,0,0,0,0
aug_v2a.17318,-0.513361976,NA,NA,NA,0,0,0,0
aug_v2a.20038,-0.512942544,NA,NA,NA,0,0,0,0
aug_v2a.16125,-0.511962672,NA,NA,NA,0,0,0,0
aug_v2a.07420,-0.511921018,NA,NA,NA,0,0,0,0
aug_v2a.00460,-0.511785916,NA,-0.352124457,NA,0,0,0,0
aug_v2a.23295,-0.511590553,NA,-0.894146529,-0.490752139,0,0,1,0
aug_v2a.15754,-0.511587232,NA,NA,NA,0,0,0,0
aug_v2a.02588,-0.511173669,NA,NA,NA,0,0,0,0
aug_v2a.16107,-0.510206259,NA,-0.735988862,NA,0,0,1,0
aug_v2a.09596,-0.510127251,NA,-0.414106409,NA,0,0,0,0
aug_v2a.21193,-0.509570551,-0.677227431,-0.506306864,-0.589680848,0,1,0,0
aug_v2a.02652,-0.508934703,NA,NA,-0.411945205,0,0,0,0
aug_v2a.09461,-0.508273776,NA,-0.329931843,NA,0,0,0,0
aug_v2a.09111,-0.508070899,NA,-0.519952448,NA,0,0,0,0
aug_v2a.19972,-0.507973806,NA,-0.616743041,-0.562285542,0,0,1,0
aug_v2a.07181,-0.506856711,-0.604696026,NA,0.457015188,0,1,0,0
aug_v2a.21838,-0.506570917,NA,NA,NA,0,0,0,0
aug_v2a.10095,-0.506283234,NA,0.520202441,0.381261382,0,0,0,0
aug_v2a.06376,-0.50586089,NA,NA,NA,0,0,0,0
aug_v2a.21108,-0.504596821,NA,NA,NA,0,0,0,0
aug_v2a.08236,-0.504485521,NA,-0.507305274,-0.407031591,0,0,0,0
aug_v2a.10051,-0.504450749,NA,NA,NA,0,0,0,0
aug_v2a.15594,-0.504243243,NA,0.32643349,NA,0,0,0,0
aug_v2a.20196,-0.504221027,NA,NA,NA,0,0,0,0
aug_v2a.03724,-0.503963827,NA,-0.531329301,NA,0,0,0,0
aug_v2a.17504,-0.503842704,NA,NA,NA,0,0,0,0
aug_v2a.21037,-0.503627632,NA,NA,NA,0,0,0,0
aug_v2a.08021,-0.503430488,NA,NA,NA,0,0,0,0
aug_v2a.04458,-0.503289967,NA,-0.765197786,NA,0,0,1,0
aug_v2a.15006,-0.502200538,NA,NA,-0.319206401,0,0,0,0
aug_v2a.16431,-0.502059153,NA,NA,NA,0,0,0,0
aug_v2a.14588,-0.501831591,NA,-0.78365645,-0.778144159,0,0,1,1
aug_v2a.14837,-0.501639232,NA,NA,NA,0,0,0,0
aug_v2a.01101,-0.501561289,-0.581325652,NA,-0.60417109,0,0,0,1
aug_v2a.22870,-0.500920271,NA,-0.629472044,NA,0,0,1,0
aug_v2a.14529,-0.4996864,NA,NA,NA,0,0,0,0
aug_v2a.10933,-0.499206071,NA,-0.507773739,-0.428287004,0,0,0,0
aug_v2a.16354,-0.498681866,-0.634472738,-0.758262345,-0.612200472,0,1,1,1
aug_v2a.04477,-0.498647322,NA,-0.562347646,-0.501070332,0,0,0,0
aug_v2a.06580,-0.498116462,NA,-0.436480691,NA,0,0,0,0
aug_v2a.09147,-0.497235816,NA,NA,NA,0,0,0,0
aug_v2a.09482,-0.496730492,NA,-0.660381351,NA,0,0,1,0
aug_v2a.10799,-0.496172444,NA,-0.33961787,-0.403405349,0,0,0,0
aug_v2a.11360,-0.495815244,NA,NA,NA,0,0,0,0
aug_v2a.18997,-0.495375641,NA,NA,NA,0,0,0,0
aug_v2a.19298,-0.495322813,NA,-0.345236024,-0.408269304,0,0,0,0
aug_v2a.11350,-0.495314779,NA,NA,NA,0,0,0,0
aug_v2a.07660,-0.495184718,NA,NA,NA,0,0,0,0
aug_v2a.23649,-0.494349787,-0.446569905,-0.845729628,NA,0,0,1,0
aug_v2a.10248,-0.494205188,NA,-0.579852453,NA,0,0,0,0
aug_v2a.05014,-0.494154763,NA,-0.567576859,NA,0,0,0,0
aug_v2a.02038,-0.49404662,NA,NA,NA,0,0,0,0
aug_v2a.04530,-0.493776202,NA,-0.382709901,-0.373224441,0,0,0,0
aug_v2a.18128,-0.49324662,-0.517160078,NA,NA,0,0,0,0
aug_v2a.07173,-0.493226289,NA,-0.684379564,-0.412048936,0,0,1,0
aug_v2a.20741,-0.491668376,NA,NA,NA,0,0,0,0
aug_v2a.00091,-0.491587603,NA,NA,NA,0,0,0,0
aug_v2a.16746,-0.491581427,NA,-0.766509988,NA,0,0,1,0
aug_v2a.08994,-0.491369579,NA,NA,NA,0,0,0,0
aug_v2a.18524,-0.490994349,NA,NA,NA,0,0,0,0
aug_v2a.02144,-0.490898513,-0.536026454,-1.445232375,-1.057685122,0,0,1,1
aug_v2a.14382,-0.490416586,NA,0.424531481,NA,0,0,0,0
aug_v2a.00969,-0.489513126,NA,NA,NA,0,0,0,0
aug_v2a.02246,-0.489459677,NA,-1.058955881,-0.364909501,0,0,1,0
aug_v2a.02758,-0.489430222,NA,-0.495639217,NA,0,0,0,0
aug_v2a.21974,-0.489084479,NA,NA,NA,0,0,0,0
aug_v2a.24690,-0.488496736,NA,-0.538582725,-0.546905728,0,0,0,0
aug_v2a.06008,-0.487607275,NA,-0.440579543,-0.373462548,0,0,0,0
aug_v2a.17744,-0.487580233,NA,-0.635907358,NA,0,0,1,0
aug_v2a.23510,-0.48756536,NA,-0.920977422,NA,0,0,1,0
aug_v2a.05940,-0.487551703,NA,NA,NA,0,0,0,0
aug_v2a.22598,-0.487386113,NA,NA,NA,0,0,0,0
aug_v2a.03335,-0.487164418,NA,-0.539239919,NA,0,0,0,0
aug_v2a.15134,-0.487161573,NA,-0.488512631,-0.413980921,0,0,0,0
aug_v2a.17550,-0.486481349,NA,NA,NA,0,0,0,0
aug_v2a.14864,-0.486179649,NA,NA,NA,0,0,0,0
aug_v2a.23971,-0.486074069,NA,-0.743907543,NA,0,0,1,0
aug_v2a.09925,-0.485812852,NA,NA,NA,0,0,0,0
aug_v2a.06865,-0.485128668,-0.736615602,-0.333741032,-0.543291274,0,1,0,0
aug_v2a.21518,-0.485021199,NA,NA,NA,0,0,0,0
aug_v2a.11301,-0.484819723,-0.553992218,-0.439012466,-0.51346046,0,0,0,0
aug_v2a.16817,-0.484397528,NA,NA,NA,0,0,0,0
aug_v2a.11480,-0.48439018,NA,NA,NA,0,0,0,0
aug_v2a.00697,-0.484194511,NA,-0.76256277,-0.397226545,0,0,1,0
aug_v2a.21795,-0.483526972,NA,NA,NA,0,0,0,0
aug_v2a.05393,-0.483241556,NA,NA,NA,0,0,0,0
aug_v2a.13059,-0.483122007,NA,-0.532514892,-0.379603718,0,0,0,0
aug_v2a.05853,-0.482199352,NA,-0.425135823,NA,0,0,0,0
aug_v2a.13566,-0.481976385,-0.508126419,-1.053557209,-0.902194936,0,0,1,1
aug_v2a.10608,-0.481157075,NA,NA,NA,0,0,0,0
aug_v2a.23642,-0.481133747,NA,NA,-0.508463348,0,0,0,0
aug_v2a.01265,-0.480304619,NA,NA,NA,0,0,0,0
aug_v2a.24255,-0.47900437,NA,-0.494886746,-0.411452463,0,0,0,0
aug_v2a.09852,-0.478840381,NA,NA,NA,0,0,0,0
aug_v2a.01075,-0.478382574,NA,-0.515038956,-0.308155455,0,0,0,0
aug_v2a.05795,-0.478148455,NA,-0.306506516,NA,0,0,0,0
aug_v2a.05075,-0.478069942,NA,NA,NA,0,0,0,0
aug_v2a.16309,-0.477906232,NA,NA,NA,0,0,0,0
aug_v2a.17928,-0.477843497,NA,-0.920386237,-0.693063003,0,0,1,1
aug_v2a.16790,-0.477726873,NA,NA,NA,0,0,0,0
aug_v2a.20940,-0.477723212,NA,-0.856517082,-0.457999932,0,0,1,0
aug_v2a.07242,-0.477637495,-0.764208467,-0.623500415,NA,0,1,1,0
aug_v2a.06974,-0.477340786,NA,NA,NA,0,0,0,0
aug_v2a.05625,-0.477325935,NA,-0.365525456,NA,0,0,0,0
aug_v2a.07182,-0.477254175,NA,0.434439403,NA,0,0,0,0
aug_v2a.16836,-0.475114157,NA,NA,NA,0,0,0,0
aug_v2a.02126,-0.474260648,NA,-0.383363842,NA,0,0,0,0
aug_v2a.10016,-0.474253639,NA,-0.414888778,NA,0,0,0,0
aug_v2a.22072,-0.473754878,NA,-0.502306715,NA,0,0,0,0
aug_v2a.03282,-0.473702448,NA,-0.557073952,-0.385780551,0,0,0,0
aug_v2a.18525,-0.473602169,NA,-0.359778248,-0.386113751,0,0,0,0
aug_v2a.05469,-0.47359823,NA,NA,NA,0,0,0,0
aug_v2a.09314,-0.473564226,NA,-0.417889944,-0.340407031,0,0,0,0
aug_v2a.01194,-0.472836003,NA,-0.337601165,-0.357005693,0,0,0,0
aug_v2a.08665,-0.472790938,NA,NA,-0.479655851,0,0,0,0
aug_v2a.11271,-0.472540659,-0.378263053,-1.115703934,-0.685770069,0,0,1,1
aug_v2a.07340,-0.47152141,NA,-0.707209917,-0.696961599,0,0,1,1
aug_v2a.17631,-0.471188002,NA,-0.521585853,NA,0,0,0,0
aug_v2a.14282,-0.470843478,NA,-0.684517178,-0.40014043,0,0,1,0
aug_v2a.09571,-0.470805587,NA,-0.327268079,NA,0,0,0,0
aug_v2a.01273,-0.470113845,NA,-0.427095403,NA,0,0,0,0
aug_v2a.05504,-0.46984024,-0.550951323,-0.544591819,NA,0,0,0,0
aug_v2a.05366,-0.469672876,NA,NA,NA,0,0,0,0
aug_v2a.17500,-0.468939086,NA,NA,NA,0,0,0,0
aug_v2a.01242,-0.468931909,NA,-0.49755946,NA,0,0,0,0
aug_v2a.12221,-0.468632931,NA,NA,NA,0,0,0,0
aug_v2a.06856,-0.468544108,NA,NA,NA,0,0,0,0
aug_v2a.20332,-0.468278173,NA,NA,NA,0,0,0,0
aug_v2a.19160,-0.468221688,NA,NA,NA,0,0,0,0
aug_v2a.09858,-0.468038161,NA,NA,NA,0,0,0,0
aug_v2a.13178,-0.467400523,NA,NA,NA,0,0,0,0
aug_v2a.17005,-0.466680355,NA,-0.71389253,-0.766352983,0,0,1,1
aug_v2a.00257,-0.466465947,NA,NA,NA,0,0,0,0
aug_v2a.16779,-0.466419576,NA,NA,NA,0,0,0,0
aug_v2a.03476,-0.466344731,NA,-0.493596439,NA,0,0,0,0
aug_v2a.10262,-0.465980283,NA,-0.355142632,NA,0,0,0,0
aug_v2a.21402,-0.465602538,NA,-0.76456961,-0.821066539,0,0,1,1
aug_v2a.22206,-0.465468331,NA,-0.392528096,-0.462006999,0,0,0,0
aug_v2a.00030,-0.465332359,NA,NA,NA,0,0,0,0
aug_v2a.00059,-0.465233383,NA,NA,NA,0,0,0,0
aug_v2a.05585,-0.465076004,NA,-0.569148552,NA,0,0,0,0
aug_v2a.20324,-0.464716785,NA,NA,NA,0,0,0,0
aug_v2a.03979,-0.46462958,NA,1.308562845,0.695920973,0,0,1,1
aug_v2a.23444,-0.464617028,NA,NA,NA,0,0,0,0
aug_v2a.07593,-0.46451097,NA,NA,NA,0,0,0,0
aug_v2a.12269,-0.464368216,-0.443126127,NA,NA,0,0,0,0
aug_v2a.05219,-0.463841669,NA,NA,NA,0,0,0,0
aug_v2a.12338,-0.463604347,NA,NA,NA,0,0,0,0
aug_v2a.12222,-0.463456763,-0.548148216,-0.385623274,NA,0,0,0,0
aug_v2a.11977,-0.463255471,NA,NA,NA,0,0,0,0
aug_v2a.03460,-0.462362907,NA,NA,NA,0,0,0,0
aug_v2a.16793,-0.462261615,NA,NA,NA,0,0,0,0
aug_v2a.24699,-0.461894209,NA,-0.495000516,NA,0,0,0,0
aug_v2a.17870,-0.461846327,NA,-0.446335571,NA,0,0,0,0
aug_v2a.12783,-0.461616126,NA,-0.403302468,NA,0,0,0,0
aug_v2a.19620,-0.461181305,NA,0.953995773,0.455244921,0,0,1,0
aug_v2a.10939,-0.460593069,NA,-0.47045385,NA,0,0,0,0
aug_v2a.24045,-0.460486699,NA,NA,-0.441144366,0,0,0,0
aug_v2a.23668,-0.460370645,NA,-0.448323059,-0.459262909,0,0,0,0
aug_v2a.23302,-0.460339959,NA,-0.461428811,NA,0,0,0,0
aug_v2a.15242,-0.460275313,NA,NA,0.318871326,0,0,0,0
aug_v2a.18143,-0.459946351,NA,NA,NA,0,0,0,0
aug_v2a.20082,-0.459922947,NA,-0.33065307,NA,0,0,0,0
