ID	logFC	adj.P.Val
aug_v2a.05830	0.437278257	0.03414039
aug_v2a.00378	0.421542387	0.019476834
aug_v2a.05454	0.56461898	0.042275745
aug_v2a.20974	0.402588545	0.02207332
aug_v2a.11200	-0.353475955	0.004062403
aug_v2a.05802	-0.489235439	0.008112872
aug_v2a.19379	0.456471338	0.001179602
aug_v2a.19305	-0.398285744	0.040328942
aug_v2a.17916	-0.37933603	0.016857426
aug_v2a.08813	0.31300931	0.016726935
aug_v2a.14402	0.771205091	0.002253266
aug_v2a.08698	0.780097568	1.44029E-05
aug_v2a.20600	0.834605739	1.33519E-05
aug_v2a.09437	-0.25070944	0.04630605
aug_v2a.01430	0.380258129	0.04248016
aug_v2a.18756	-0.57317195	0.013995362
aug_v2a.07645	-0.315973481	0.000342181
aug_v2a.00828	-0.878258602	0.014499073
aug_v2a.17094	-0.300243579	0.001102842
aug_v2a.10402	-0.301929249	0.019750932
aug_v2a.14898	0.787735942	0.025209921
aug_v2a.09704	-0.251629302	0.009010069
aug_v2a.02107	-0.272828898	0.012372976
aug_v2a.07736	-0.219900901	0.048658777
aug_v2a.13058	0.39054893	0.008811689
aug_v2a.14647	-0.428573912	1.17244E-05
aug_v2a.13799	-0.773265264	1.45644E-05
aug_v2a.20729	0.640693767	0.043043555
aug_v2a.22224	0.959498417	0.038401473
aug_v2a.20415	-0.451516165	0.006207296
aug_v2a.08499	-0.69885522	0.001583876
aug_v2a.19859	-0.81946352	0.000351504
aug_v2a.07488	-0.43413082	0.00836107
aug_v2a.16979	0.290552991	0.042440777
aug_v2a.14594	0.37937799	0.023729947
aug_v2a.09779	0.536346913	0.016896859
aug_v2a.06144	0.564429184	0.009913205
aug_v2a.11072	0.660569209	0.028585574
aug_v2a.04808	-0.471337679	6.66553E-05
aug_v2a.01011	0.662661973	8.97646E-05
aug_v2a.02246	-0.364909501	0.039042736
aug_v2a.19035	-0.602372572	0.0002385
aug_v2a.08384	-0.302825379	0.046212187
aug_v2a.13246	0.310481009	0.015584823
aug_v2a.17235	0.60284591	0.000783658
aug_v2a.14341	-0.383969548	0.004371701
aug_v2a.15468	1.07368725	2.4107E-08
aug_v2a.04393	-0.412199389	0.022222516
aug_v2a.17451	-1.020273283	1.47467E-09
aug_v2a.03392	0.599603792	9.56042E-05
aug_v2a.07511	-0.465066402	0.019906359
aug_v2a.13501	-0.458199356	0.044871657
aug_v2a.15748	0.754225617	0.032532148
aug_v2a.02515	0.840930413	0.042154754
aug_v2a.17023	0.660286851	0.000741173
aug_v2a.14744	0.455021011	0.017781488
aug_v2a.18513	-0.740381706	0.036360982
aug_v2a.24546	0.814938609	0.018862139
aug_v2a.23650	-0.940812772	0.026716936
aug_v2a.22167	0.372553622	0.038980501
