M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25
NA	NA	NA	NA	NA	aug_v2a.19713	NA	NA	NA	aug_v2a.10590	aug_v2a.08384	aug_v2a.23531	aug_v2a.05076	NA	aug_v2a.02353	NA	NA	aug_v2a.10285	aug_v2a.16379	aug_v2a.19524	aug_v2a.22946	NA	aug_v2a.02074	aug_v2a.00205	aug_v2a.02359
NA	NA	NA	NA	NA	aug_v2a.00967	NA	NA	NA	aug_v2a.07127	aug_v2a.16778	aug_v2a.08699	aug_v2a.16099	NA	aug_v2a.02507	NA	NA	aug_v2a.19303	aug_v2a.10528	aug_v2a.22313	aug_v2a.04374	NA	aug_v2a.00034	aug_v2a.07609	aug_v2a.15878
NA	NA	NA	NA	NA	aug_v2a.14113	NA	NA	NA	aug_v2a.20767	aug_v2a.10881	aug_v2a.09925	aug_v2a.14076	NA	aug_v2a.15768	NA	NA	aug_v2a.02955	aug_v2a.19032	aug_v2a.06791	aug_v2a.03659	NA	aug_v2a.18270	aug_v2a.08463	aug_v2a.00826
NA	NA	NA	NA	NA	aug_v2a.13266	NA	NA	NA	aug_v2a.18080	aug_v2a.11686	aug_v2a.09588	aug_v2a.01243	NA	aug_v2a.13837	NA	NA	aug_v2a.10027	aug_v2a.10893	aug_v2a.21504	aug_v2a.08465	NA	aug_v2a.12289	aug_v2a.11780	aug_v2a.09859
NA	NA	NA	NA	NA	aug_v2a.15827	NA	NA	NA	aug_v2a.08372	aug_v2a.07616	aug_v2a.10424	aug_v2a.12299	NA	aug_v2a.13589	NA	NA	aug_v2a.07137	aug_v2a.16674	aug_v2a.22527	aug_v2a.06248	NA	aug_v2a.08226	aug_v2a.17218	aug_v2a.03612
NA	NA	NA	NA	NA	aug_v2a.16917	NA	NA	NA	aug_v2a.15059	aug_v2a.08309	aug_v2a.10753	aug_v2a.10142	NA	aug_v2a.09080	NA	NA	aug_v2a.19313	aug_v2a.12152	aug_v2a.09452	aug_v2a.23393	NA	aug_v2a.10838	aug_v2a.10828	aug_v2a.12315
NA	NA	NA	NA	NA	aug_v2a.11407	NA	NA	NA	aug_v2a.09032	aug_v2a.24004	aug_v2a.16279	aug_v2a.09955	NA	aug_v2a.08480	NA	NA	aug_v2a.19133	aug_v2a.17305	aug_v2a.06526	aug_v2a.15039	NA	aug_v2a.22247	aug_v2a.24314	aug_v2a.09912
NA	NA	NA	NA	NA	aug_v2a.09100	NA	NA	NA	aug_v2a.15088	aug_v2a.09127	aug_v2a.24045	aug_v2a.17316	NA	aug_v2a.17941	NA	NA	aug_v2a.09155	aug_v2a.24219	aug_v2a.07466	aug_v2a.11356	NA	aug_v2a.21897	aug_v2a.21260	aug_v2a.03824
NA	NA	NA	NA	NA	aug_v2a.22764	NA	NA	NA	aug_v2a.13160	aug_v2a.20864	aug_v2a.00873	aug_v2a.01004	NA	aug_v2a.16138	NA	NA	aug_v2a.17259	aug_v2a.19989	aug_v2a.13840	aug_v2a.21128	NA	aug_v2a.18312	aug_v2a.18442	aug_v2a.07527
NA	NA	NA	NA	NA	aug_v2a.17226	NA	NA	NA	aug_v2a.05080	aug_v2a.18478	aug_v2a.00030	aug_v2a.01308	NA	aug_v2a.06467	NA	NA	aug_v2a.19545	aug_v2a.05719	aug_v2a.12382	aug_v2a.23581	NA	aug_v2a.03159	aug_v2a.15689	aug_v2a.13263
NA	NA	NA	NA	NA	aug_v2a.17559	NA	NA	NA	aug_v2a.10472	aug_v2a.23182	aug_v2a.12339	aug_v2a.24138	NA	aug_v2a.02462	NA	NA	aug_v2a.06158	aug_v2a.09210	aug_v2a.02954	aug_v2a.04996	NA	aug_v2a.11954	aug_v2a.18416	aug_v2a.20541
NA	NA	NA	NA	NA	aug_v2a.18302	NA	NA	NA	aug_v2a.08279	aug_v2a.22072	aug_v2a.03698	aug_v2a.02538	NA	aug_v2a.14806	NA	NA	aug_v2a.04381	aug_v2a.01984	aug_v2a.11416	aug_v2a.17268	NA	aug_v2a.09676	aug_v2a.11145	aug_v2a.18062
NA	NA	NA	NA	NA	aug_v2a.08592	NA	NA	NA	aug_v2a.21781	aug_v2a.12133	aug_v2a.10930	aug_v2a.04616	NA	aug_v2a.15512	NA	NA	aug_v2a.13829	aug_v2a.00142	aug_v2a.19762	aug_v2a.02318	NA	aug_v2a.12001	aug_v2a.02543	aug_v2a.13663
NA	NA	NA	NA	NA	aug_v2a.22507	NA	NA	NA	aug_v2a.05504	aug_v2a.20121	aug_v2a.05467	aug_v2a.06277	NA	aug_v2a.10531	NA	NA	aug_v2a.00936	aug_v2a.15702	aug_v2a.20348	aug_v2a.01707	NA	aug_v2a.05713	aug_v2a.18994	aug_v2a.11642
NA	NA	NA	NA	NA	aug_v2a.17191	NA	NA	NA	aug_v2a.20009	aug_v2a.13860	aug_v2a.01685	aug_v2a.02463	NA	aug_v2a.15122	NA	NA	aug_v2a.06221	aug_v2a.04559	aug_v2a.17531	aug_v2a.18176	NA	aug_v2a.05518	aug_v2a.07224	aug_v2a.01590
NA	NA	NA	NA	NA	aug_v2a.14306	NA	NA	NA	aug_v2a.23400	aug_v2a.16163	aug_v2a.02025	aug_v2a.14053	NA	aug_v2a.04681	NA	NA	aug_v2a.06222	aug_v2a.22383	aug_v2a.22237	aug_v2a.06238	NA	aug_v2a.23300	aug_v2a.08065	aug_v2a.10121
NA	NA	NA	NA	NA	aug_v2a.04659	NA	NA	NA	aug_v2a.02918	aug_v2a.00509	aug_v2a.05126	aug_v2a.01060	NA	aug_v2a.01249	NA	NA	aug_v2a.07234	aug_v2a.06151	aug_v2a.23979	aug_v2a.16321	NA	aug_v2a.05227	aug_v2a.21575	aug_v2a.03353
NA	NA	NA	NA	NA	aug_v2a.01853	NA	NA	NA	aug_v2a.00012	aug_v2a.03608	aug_v2a.21967	aug_v2a.13602	NA	aug_v2a.08205	NA	NA	aug_v2a.20116	aug_v2a.23708	aug_v2a.09803	aug_v2a.11415	NA	aug_v2a.06338	aug_v2a.15820	aug_v2a.11243
NA	NA	NA	NA	NA	aug_v2a.09214	NA	NA	NA	aug_v2a.16767	aug_v2a.06306	aug_v2a.17319	aug_v2a.00725	NA	aug_v2a.02487	NA	NA	aug_v2a.23321	aug_v2a.07607	aug_v2a.00526	aug_v2a.19465	NA	aug_v2a.07638	aug_v2a.18131	aug_v2a.01356
NA	NA	NA	NA	NA	aug_v2a.14458	NA	NA	NA	aug_v2a.01137	aug_v2a.22686	aug_v2a.11929	aug_v2a.13583	NA	aug_v2a.15003	NA	NA	aug_v2a.20412	aug_v2a.09203	aug_v2a.21473	aug_v2a.02508	NA	NA	aug_v2a.23939	aug_v2a.20629
NA	NA	NA	NA	NA	aug_v2a.09119	NA	NA	NA	aug_v2a.19948	aug_v2a.05269	aug_v2a.20082	aug_v2a.05441	NA	aug_v2a.11296	NA	NA	aug_v2a.19758	aug_v2a.09204	aug_v2a.03778	aug_v2a.13415	NA	NA	aug_v2a.06265	aug_v2a.15931
NA	NA	NA	NA	NA	aug_v2a.02159	NA	NA	NA	aug_v2a.05824	aug_v2a.21316	aug_v2a.07470	aug_v2a.12607	NA	aug_v2a.02005	NA	NA	aug_v2a.13824	aug_v2a.17774	aug_v2a.14607	aug_v2a.14757	NA	NA	aug_v2a.19961	aug_v2a.04061
NA	NA	NA	NA	NA	aug_v2a.10209	NA	NA	NA	aug_v2a.14339	aug_v2a.19496	aug_v2a.21974	aug_v2a.23938	NA	aug_v2a.08642	NA	NA	aug_v2a.09353	aug_v2a.22606	aug_v2a.20721	aug_v2a.15949	NA	NA	aug_v2a.20039	aug_v2a.09556
NA	NA	NA	NA	NA	aug_v2a.03900	NA	NA	NA	aug_v2a.10440	aug_v2a.08371	aug_v2a.12389	aug_v2a.01394	NA	aug_v2a.23541	NA	NA	aug_v2a.16121	aug_v2a.19182	aug_v2a.01702	aug_v2a.00136	NA	NA	aug_v2a.12736	aug_v2a.21907
NA	NA	NA	NA	NA	aug_v2a.18809	NA	NA	NA	aug_v2a.18576	aug_v2a.03070	aug_v2a.20847	aug_v2a.21578	NA	aug_v2a.14832	NA	NA	aug_v2a.16755	aug_v2a.01521	aug_v2a.06400	aug_v2a.06878	NA	NA	aug_v2a.23103	aug_v2a.03579
NA	NA	NA	NA	NA	aug_v2a.07657	NA	NA	NA	aug_v2a.11646	aug_v2a.18516	aug_v2a.14426	aug_v2a.19215	NA	aug_v2a.11242	NA	NA	aug_v2a.11557	aug_v2a.24348	aug_v2a.05970	aug_v2a.23293	NA	NA	aug_v2a.02134	aug_v2a.12879
NA	NA	NA	NA	NA	aug_v2a.17914	NA	NA	NA	aug_v2a.00840	aug_v2a.17378	aug_v2a.07656	aug_v2a.00092	NA	aug_v2a.17750	NA	NA	aug_v2a.13963	aug_v2a.19210	aug_v2a.13330	aug_v2a.24239	NA	NA	aug_v2a.21494	aug_v2a.12880
NA	NA	NA	NA	NA	aug_v2a.08294	NA	NA	NA	aug_v2a.08630	aug_v2a.09057	aug_v2a.01907	aug_v2a.10341	NA	aug_v2a.14686	NA	NA	aug_v2a.17893	aug_v2a.16295	aug_v2a.14088	aug_v2a.13920	NA	NA	aug_v2a.13094	aug_v2a.04295
NA	NA	NA	NA	NA	aug_v2a.19672	NA	NA	NA	aug_v2a.05507	aug_v2a.00970	aug_v2a.18998	aug_v2a.09359	NA	aug_v2a.17341	NA	NA	aug_v2a.19838	aug_v2a.20588	aug_v2a.03838	aug_v2a.18550	NA	NA	aug_v2a.20047	aug_v2a.14520
NA	NA	NA	NA	NA	aug_v2a.18881	NA	NA	NA	aug_v2a.14990	aug_v2a.14677	aug_v2a.17685	aug_v2a.23353	NA	aug_v2a.02417	NA	NA	aug_v2a.16939	aug_v2a.16171	aug_v2a.08353	aug_v2a.19635	NA	NA	aug_v2a.17061	aug_v2a.21905
NA	NA	NA	NA	NA	aug_v2a.19556	NA	NA	NA	aug_v2a.19413	aug_v2a.18637	aug_v2a.16511	aug_v2a.18518	NA	aug_v2a.12443	NA	NA	aug_v2a.08156	aug_v2a.18822	aug_v2a.06337	aug_v2a.09466	NA	NA	aug_v2a.05311	aug_v2a.01693
NA	NA	NA	NA	NA	aug_v2a.09149	NA	NA	NA	aug_v2a.11603	aug_v2a.21732	aug_v2a.19353	aug_v2a.02584	NA	aug_v2a.01095	NA	NA	aug_v2a.23251	aug_v2a.03762	aug_v2a.16261	aug_v2a.17676	NA	NA	aug_v2a.00041	aug_v2a.01928
NA	NA	NA	NA	NA	aug_v2a.04378	NA	NA	NA	aug_v2a.15177	aug_v2a.23657	aug_v2a.16134	aug_v2a.20649	NA	aug_v2a.01945	NA	NA	aug_v2a.18315	aug_v2a.08149	aug_v2a.03954	aug_v2a.11362	NA	NA	aug_v2a.03201	aug_v2a.03093
NA	NA	NA	NA	NA	aug_v2a.21831	NA	NA	NA	aug_v2a.10546	aug_v2a.09964	aug_v2a.09719	aug_v2a.02395	NA	aug_v2a.19577	NA	NA	aug_v2a.08367	aug_v2a.03763	aug_v2a.15908	aug_v2a.08152	NA	NA	aug_v2a.24173	aug_v2a.16635
NA	NA	NA	NA	NA	aug_v2a.12657	NA	NA	NA	aug_v2a.24113	aug_v2a.03476	aug_v2a.18681	aug_v2a.07004	NA	aug_v2a.22812	NA	NA	aug_v2a.01445	aug_v2a.18078	aug_v2a.21960	aug_v2a.08727	NA	NA	aug_v2a.06482	aug_v2a.04923
NA	NA	NA	NA	NA	aug_v2a.08509	NA	NA	NA	aug_v2a.24743	aug_v2a.04434	aug_v2a.18608	aug_v2a.07751	NA	aug_v2a.07534	NA	NA	aug_v2a.23352	aug_v2a.11229	aug_v2a.20353	aug_v2a.21760	NA	NA	aug_v2a.03533	aug_v2a.20424
NA	NA	NA	NA	NA	aug_v2a.04311	NA	NA	NA	aug_v2a.11724	aug_v2a.18636	aug_v2a.22992	aug_v2a.01261	NA	aug_v2a.07306	NA	NA	aug_v2a.19595	aug_v2a.09140	aug_v2a.07270	aug_v2a.22418	NA	NA	aug_v2a.04692	aug_v2a.07279
NA	NA	NA	NA	NA	aug_v2a.14794	NA	NA	NA	aug_v2a.07191	aug_v2a.12695	aug_v2a.05515	aug_v2a.04743	NA	aug_v2a.11595	NA	NA	aug_v2a.19304	aug_v2a.01671	aug_v2a.15101	aug_v2a.23270	NA	NA	aug_v2a.10058	aug_v2a.21725
NA	NA	NA	NA	NA	aug_v2a.01229	NA	NA	NA	aug_v2a.17984	aug_v2a.17440	aug_v2a.07075	aug_v2a.07332	NA	aug_v2a.17585	NA	NA	aug_v2a.22887	aug_v2a.17900	aug_v2a.23829	aug_v2a.10274	NA	NA	aug_v2a.22201	aug_v2a.13205
NA	NA	NA	NA	NA	aug_v2a.15636	NA	NA	NA	aug_v2a.21432	aug_v2a.20089	aug_v2a.16817	aug_v2a.22277	NA	aug_v2a.23003	NA	NA	aug_v2a.16187	aug_v2a.19518	aug_v2a.17235	aug_v2a.17121	NA	NA	aug_v2a.12985	aug_v2a.07209
NA	NA	NA	NA	NA	aug_v2a.02836	NA	NA	NA	aug_v2a.11617	aug_v2a.05143	aug_v2a.13388	aug_v2a.14080	NA	aug_v2a.04283	NA	NA	aug_v2a.16170	aug_v2a.23141	aug_v2a.16189	aug_v2a.09153	NA	NA	aug_v2a.10410	aug_v2a.10112
NA	NA	NA	NA	NA	aug_v2a.17219	NA	NA	NA	aug_v2a.11200	aug_v2a.17094	aug_v2a.11930	aug_v2a.23301	NA	aug_v2a.21290	NA	NA	aug_v2a.20530	aug_v2a.00837	aug_v2a.20874	aug_v2a.14854	NA	NA	aug_v2a.22199	aug_v2a.19256
NA	NA	NA	NA	NA	aug_v2a.09815	NA	NA	NA	aug_v2a.14715	aug_v2a.05982	aug_v2a.14260	aug_v2a.22036	NA	aug_v2a.06162	NA	NA	aug_v2a.23109	aug_v2a.16807	aug_v2a.00960	aug_v2a.14018	NA	NA	aug_v2a.23882	aug_v2a.12198
NA	NA	NA	NA	NA	aug_v2a.17503	NA	NA	NA	aug_v2a.20399	aug_v2a.10538	aug_v2a.07502	aug_v2a.12138	NA	aug_v2a.11247	NA	NA	aug_v2a.08148	aug_v2a.15153	aug_v2a.16386	aug_v2a.09093	NA	NA	aug_v2a.00357	aug_v2a.04593
NA	NA	NA	NA	NA	aug_v2a.06977	NA	NA	NA	aug_v2a.00293	aug_v2a.05801	aug_v2a.16060	aug_v2a.16436	NA	aug_v2a.09972	NA	NA	aug_v2a.10891	aug_v2a.06842	aug_v2a.16387	aug_v2a.18639	NA	NA	aug_v2a.14596	aug_v2a.05177
NA	NA	NA	NA	NA	aug_v2a.08622	NA	NA	NA	aug_v2a.02606	aug_v2a.03897	aug_v2a.09239	aug_v2a.08611	NA	aug_v2a.18219	NA	NA	aug_v2a.07473	aug_v2a.21279	aug_v2a.03106	aug_v2a.15760	NA	NA	aug_v2a.00449	aug_v2a.08826
NA	NA	NA	NA	NA	aug_v2a.02451	NA	NA	NA	aug_v2a.00277	aug_v2a.15132	aug_v2a.10443	aug_v2a.12447	NA	aug_v2a.07986	NA	NA	aug_v2a.11615	aug_v2a.15324	aug_v2a.07949	aug_v2a.16847	NA	NA	aug_v2a.04397	aug_v2a.08827
NA	NA	NA	NA	NA	aug_v2a.15526	NA	NA	NA	aug_v2a.12394	aug_v2a.11105	aug_v2a.12841	aug_v2a.02615	NA	aug_v2a.14933	NA	NA	aug_v2a.11616	aug_v2a.20156	aug_v2a.22040	aug_v2a.08523	NA	NA	aug_v2a.03015	aug_v2a.11036
NA	NA	NA	NA	NA	aug_v2a.13900	NA	NA	NA	aug_v2a.10958	aug_v2a.09625	aug_v2a.03085	aug_v2a.02616	NA	aug_v2a.20547	NA	NA	aug_v2a.24259	aug_v2a.04288	aug_v2a.19153	aug_v2a.09572	NA	NA	aug_v2a.03904	aug_v2a.01044
NA	NA	NA	NA	NA	aug_v2a.15605	NA	NA	NA	aug_v2a.14034	aug_v2a.11509	aug_v2a.21407	aug_v2a.06458	NA	aug_v2a.01065	NA	NA	aug_v2a.08403	aug_v2a.19538	aug_v2a.24208	aug_v2a.05798	NA	NA	aug_v2a.04438	aug_v2a.01797
NA	NA	NA	NA	NA	aug_v2a.21298	NA	NA	NA	aug_v2a.18808	aug_v2a.03765	aug_v2a.01293	aug_v2a.11096	NA	aug_v2a.21041	NA	NA	aug_v2a.18493	aug_v2a.01976	aug_v2a.00885	aug_v2a.11541	NA	NA	aug_v2a.04439	aug_v2a.12156
NA	NA	NA	NA	NA	aug_v2a.08566	NA	NA	NA	aug_v2a.14291	aug_v2a.23278	aug_v2a.01576	aug_v2a.03967	NA	aug_v2a.00897	NA	NA	aug_v2a.18494	aug_v2a.23476	aug_v2a.24145	aug_v2a.18181	NA	NA	aug_v2a.05048	NA
NA	NA	NA	NA	NA	aug_v2a.19530	NA	NA	NA	aug_v2a.23892	aug_v2a.18538	aug_v2a.12698	aug_v2a.03652	NA	aug_v2a.13562	NA	NA	aug_v2a.01580	aug_v2a.17831	aug_v2a.07528	aug_v2a.12864	NA	NA	aug_v2a.08659	NA
NA	NA	NA	NA	NA	aug_v2a.04473	NA	NA	NA	aug_v2a.17888	aug_v2a.12859	aug_v2a.06940	aug_v2a.19031	NA	aug_v2a.10998	NA	NA	aug_v2a.09218	aug_v2a.23254	aug_v2a.24234	aug_v2a.23345	NA	NA	aug_v2a.11788	NA
NA	NA	NA	NA	NA	aug_v2a.22896	NA	NA	NA	aug_v2a.09094	aug_v2a.09263	aug_v2a.08021	aug_v2a.08280	NA	aug_v2a.10441	NA	NA	aug_v2a.19793	aug_v2a.19542	aug_v2a.02472	aug_v2a.01893	NA	NA	aug_v2a.18773	NA
NA	NA	NA	NA	NA	aug_v2a.05843	NA	NA	NA	aug_v2a.05918	aug_v2a.10901	aug_v2a.01048	aug_v2a.02691	NA	aug_v2a.03210	NA	NA	aug_v2a.12520	aug_v2a.01838	aug_v2a.15363	aug_v2a.05372	NA	NA	aug_v2a.21643	NA
NA	NA	NA	NA	NA	aug_v2a.13353	NA	NA	NA	aug_v2a.21606	aug_v2a.02237	aug_v2a.07041	aug_v2a.10867	NA	aug_v2a.22395	NA	NA	aug_v2a.17883	aug_v2a.01839	aug_v2a.02689	aug_v2a.00853	NA	NA	aug_v2a.24493	NA
NA	NA	NA	NA	NA	aug_v2a.21633	NA	NA	NA	aug_v2a.08851	aug_v2a.14516	aug_v2a.06865	aug_v2a.05033	NA	aug_v2a.01545	NA	NA	aug_v2a.08897	aug_v2a.16802	aug_v2a.22208	aug_v2a.06141	NA	NA	aug_v2a.03902	NA
NA	NA	NA	NA	NA	aug_v2a.09434	NA	NA	NA	aug_v2a.21397	aug_v2a.15203	aug_v2a.11301	aug_v2a.07782	NA	aug_v2a.22472	NA	NA	aug_v2a.17144	aug_v2a.05985	aug_v2a.03857	aug_v2a.09779	NA	NA	aug_v2a.08084	NA
NA	NA	NA	NA	NA	aug_v2a.12541	NA	NA	NA	aug_v2a.11208	aug_v2a.08271	aug_v2a.17454	aug_v2a.21286	NA	aug_v2a.19803	NA	NA	aug_v2a.16955	aug_v2a.13194	aug_v2a.03858	aug_v2a.18567	NA	NA	aug_v2a.03155	NA
NA	NA	NA	NA	NA	aug_v2a.05907	NA	NA	NA	aug_v2a.00431	aug_v2a.00899	aug_v2a.08782	aug_v2a.10996	NA	aug_v2a.15380	NA	NA	aug_v2a.09315	aug_v2a.15221	aug_v2a.10477	aug_v2a.15463	NA	NA	aug_v2a.01299	NA
NA	NA	NA	NA	NA	aug_v2a.13775	NA	NA	NA	aug_v2a.04751	aug_v2a.19652	aug_v2a.13003	aug_v2a.11153	NA	aug_v2a.00320	NA	NA	aug_v2a.03305	aug_v2a.16141	aug_v2a.00582	aug_v2a.03087	NA	NA	aug_v2a.00501	NA
NA	NA	NA	NA	NA	aug_v2a.23044	NA	NA	NA	aug_v2a.19766	aug_v2a.08781	aug_v2a.09357	aug_v2a.04349	NA	aug_v2a.21219	NA	NA	aug_v2a.20119	aug_v2a.13360	aug_v2a.19932	aug_v2a.06144	NA	NA	aug_v2a.07193	NA
NA	NA	NA	NA	NA	aug_v2a.18137	NA	NA	NA	aug_v2a.13772	aug_v2a.01166	aug_v2a.24610	aug_v2a.19649	NA	aug_v2a.06465	NA	NA	aug_v2a.17364	aug_v2a.17841	aug_v2a.01656	aug_v2a.00266	NA	NA	aug_v2a.19963	NA
NA	NA	NA	NA	NA	aug_v2a.23460	NA	NA	NA	aug_v2a.17642	aug_v2a.03688	aug_v2a.05749	aug_v2a.03006	NA	aug_v2a.19159	NA	NA	aug_v2a.21854	aug_v2a.00702	aug_v2a.15388	aug_v2a.24322	NA	NA	aug_v2a.22293	NA
NA	NA	NA	NA	NA	aug_v2a.03903	NA	NA	NA	aug_v2a.02032	aug_v2a.05542	aug_v2a.10487	aug_v2a.21431	NA	aug_v2a.03100	NA	NA	aug_v2a.07431	aug_v2a.14162	aug_v2a.16474	aug_v2a.05657	NA	NA	aug_v2a.24235	NA
NA	NA	NA	NA	NA	aug_v2a.01718	NA	NA	NA	aug_v2a.14714	aug_v2a.13922	aug_v2a.18253	aug_v2a.17836	NA	aug_v2a.20697	NA	NA	aug_v2a.10919	aug_v2a.17448	aug_v2a.13932	aug_v2a.00265	NA	NA	aug_v2a.03152	NA
NA	NA	NA	NA	NA	aug_v2a.04331	NA	NA	NA	aug_v2a.05191	aug_v2a.03295	aug_v2a.12356	aug_v2a.00269	NA	aug_v2a.11913	NA	NA	aug_v2a.06059	aug_v2a.14680	aug_v2a.17150	aug_v2a.00471	NA	NA	aug_v2a.19236	NA
NA	NA	NA	NA	NA	aug_v2a.14658	NA	NA	NA	aug_v2a.05193	aug_v2a.13164	aug_v2a.12256	aug_v2a.12742	NA	aug_v2a.06286	NA	NA	aug_v2a.04354	aug_v2a.15090	aug_v2a.18113	aug_v2a.14668	NA	NA	aug_v2a.23379	NA
NA	NA	NA	NA	NA	aug_v2a.19623	NA	NA	NA	aug_v2a.24211	aug_v2a.09986	aug_v2a.16738	aug_v2a.07506	NA	aug_v2a.06583	NA	NA	aug_v2a.00182	aug_v2a.06181	aug_v2a.20187	aug_v2a.13314	NA	NA	aug_v2a.12018	NA
NA	NA	NA	NA	NA	aug_v2a.02088	NA	NA	NA	aug_v2a.14245	aug_v2a.11963	aug_v2a.09448	aug_v2a.10152	NA	aug_v2a.21713	NA	NA	aug_v2a.23367	aug_v2a.02818	aug_v2a.12894	aug_v2a.13491	NA	NA	aug_v2a.13980	NA
NA	NA	NA	NA	NA	aug_v2a.00911	NA	NA	NA	aug_v2a.05653	aug_v2a.04956	aug_v2a.06880	aug_v2a.16061	NA	aug_v2a.22785	NA	NA	aug_v2a.09249	aug_v2a.15191	aug_v2a.05976	aug_v2a.17272	NA	NA	aug_v2a.15429	NA
NA	NA	NA	NA	NA	aug_v2a.15758	NA	NA	NA	aug_v2a.16007	aug_v2a.18492	aug_v2a.00138	aug_v2a.16783	NA	aug_v2a.17908	NA	NA	aug_v2a.20974	aug_v2a.10289	aug_v2a.05551	aug_v2a.18566	NA	NA	aug_v2a.17329	NA
NA	NA	NA	NA	NA	aug_v2a.08723	NA	NA	NA	aug_v2a.11294	aug_v2a.10072	aug_v2a.09087	aug_v2a.05983	NA	aug_v2a.01310	NA	NA	aug_v2a.11877	aug_v2a.10290	aug_v2a.17696	aug_v2a.04816	NA	NA	aug_v2a.09880	NA
NA	NA	NA	NA	NA	aug_v2a.09351	NA	NA	NA	aug_v2a.16937	aug_v2a.13755	aug_v2a.05333	aug_v2a.09526	NA	aug_v2a.23573	NA	NA	aug_v2a.07744	aug_v2a.12944	aug_v2a.06097	aug_v2a.01446	NA	NA	aug_v2a.08430	NA
NA	NA	NA	NA	NA	aug_v2a.20980	NA	NA	NA	aug_v2a.10049	aug_v2a.19393	aug_v2a.09749	aug_v2a.13414	NA	aug_v2a.09480	NA	NA	aug_v2a.06154	aug_v2a.00352	aug_v2a.17124	aug_v2a.08706	NA	NA	aug_v2a.17425	NA
NA	NA	NA	NA	NA	aug_v2a.24386	NA	NA	NA	aug_v2a.24086	aug_v2a.18088	aug_v2a.00039	aug_v2a.22960	NA	aug_v2a.07892	NA	NA	aug_v2a.02406	aug_v2a.03343	aug_v2a.16737	aug_v2a.05023	NA	NA	aug_v2a.17028	NA
NA	NA	NA	NA	NA	aug_v2a.14216	NA	NA	NA	aug_v2a.17067	aug_v2a.19611	aug_v2a.16836	aug_v2a.05491	NA	aug_v2a.23824	NA	NA	aug_v2a.10463	aug_v2a.09196	aug_v2a.16242	aug_v2a.16979	NA	NA	aug_v2a.07803	NA
NA	NA	NA	NA	NA	aug_v2a.15306	NA	NA	NA	aug_v2a.05860	aug_v2a.03568	aug_v2a.01431	aug_v2a.21864	NA	aug_v2a.06454	NA	NA	aug_v2a.17876	aug_v2a.12095	aug_v2a.21205	aug_v2a.12932	NA	NA	aug_v2a.01403	NA
NA	NA	NA	NA	NA	aug_v2a.15253	NA	NA	NA	aug_v2a.22903	aug_v2a.22694	aug_v2a.01532	aug_v2a.16338	NA	aug_v2a.06013	NA	NA	aug_v2a.04375	aug_v2a.11785	aug_v2a.05956	aug_v2a.01787	NA	NA	aug_v2a.02711	NA
NA	NA	NA	NA	NA	aug_v2a.19982	NA	NA	NA	aug_v2a.11517	aug_v2a.18866	aug_v2a.06705	aug_v2a.16692	NA	aug_v2a.03575	NA	NA	aug_v2a.16093	aug_v2a.06627	aug_v2a.04120	aug_v2a.13702	NA	NA	aug_v2a.09421	NA
NA	NA	NA	NA	NA	aug_v2a.00156	NA	NA	NA	aug_v2a.05290	aug_v2a.18114	aug_v2a.15119	aug_v2a.12581	NA	aug_v2a.14001	NA	NA	aug_v2a.04359	aug_v2a.07107	aug_v2a.09496	aug_v2a.07316	NA	NA	aug_v2a.07561	NA
NA	NA	NA	NA	NA	aug_v2a.19099	NA	NA	NA	aug_v2a.11032	aug_v2a.20527	aug_v2a.04306	aug_v2a.12334	NA	aug_v2a.18869	NA	NA	aug_v2a.18010	aug_v2a.02360	aug_v2a.18218	aug_v2a.04725	NA	NA	aug_v2a.09872	NA
NA	NA	NA	NA	NA	aug_v2a.10375	NA	NA	NA	aug_v2a.17722	aug_v2a.20231	aug_v2a.16389	aug_v2a.18144	NA	aug_v2a.11583	NA	NA	aug_v2a.20729	aug_v2a.15123	aug_v2a.16430	aug_v2a.04726	NA	NA	aug_v2a.24005	NA
NA	NA	NA	NA	NA	aug_v2a.16676	NA	NA	NA	aug_v2a.20360	aug_v2a.22959	aug_v2a.01265	aug_v2a.03165	NA	aug_v2a.03618	NA	NA	aug_v2a.23466	aug_v2a.22150	aug_v2a.00599	aug_v2a.04031	NA	NA	aug_v2a.23149	NA
NA	NA	NA	NA	NA	aug_v2a.18649	NA	NA	NA	aug_v2a.20361	aug_v2a.05732	aug_v2a.19722	aug_v2a.13619	NA	aug_v2a.04729	NA	NA	aug_v2a.22894	aug_v2a.02071	aug_v2a.09579	aug_v2a.12728	NA	NA	aug_v2a.19608	NA
NA	NA	NA	NA	NA	aug_v2a.05530	NA	NA	NA	aug_v2a.20364	aug_v2a.10931	aug_v2a.02672	aug_v2a.24222	NA	aug_v2a.20376	NA	NA	aug_v2a.00273	aug_v2a.06283	aug_v2a.07766	aug_v2a.07272	NA	NA	aug_v2a.01903	NA
NA	NA	NA	NA	NA	aug_v2a.24438	NA	NA	NA	aug_v2a.20365	aug_v2a.05245	aug_v2a.17177	aug_v2a.04486	NA	aug_v2a.01676	NA	NA	aug_v2a.13239	aug_v2a.07985	aug_v2a.04284	aug_v2a.00085	NA	NA	aug_v2a.03471	NA
