M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25
aug_v2a.14874	aug_v2a.03302	aug_v2a.01863	aug_v2a.17168	aug_v2a.20979	aug_v2a.17161	aug_v2a.13670	aug_v2a.10003	aug_v2a.05005	aug_v2a.23032	aug_v2a.03188	aug_v2a.03076	aug_v2a.18474	aug_v2a.24408	aug_v2a.18196	aug_v2a.02248	aug_v2a.11361	aug_v2a.05450	aug_v2a.19681	aug_v2a.20168	aug_v2a.01856	aug_v2a.14288	aug_v2a.02637	aug_v2a.05107	aug_v2a.15879
aug_v2a.13015	aug_v2a.18614	aug_v2a.11498	aug_v2a.12785	aug_v2a.22097	aug_v2a.04599	aug_v2a.13669	aug_v2a.23845	aug_v2a.00630	aug_v2a.11103	aug_v2a.06217	aug_v2a.16431	aug_v2a.02128	aug_v2a.20484	aug_v2a.18195	aug_v2a.18337	aug_v2a.22625	aug_v2a.20833	aug_v2a.21685	aug_v2a.00376	aug_v2a.14725	aug_v2a.19626	aug_v2a.19042	aug_v2a.01329	aug_v2a.21726
aug_v2a.16921	aug_v2a.10403	aug_v2a.07955	aug_v2a.19759	aug_v2a.10600	aug_v2a.21149	aug_v2a.02557	aug_v2a.19237	aug_v2a.04551	aug_v2a.14463	aug_v2a.08098	aug_v2a.09489	aug_v2a.11394	aug_v2a.08354	aug_v2a.02125	aug_v2a.20606	aug_v2a.17574	aug_v2a.23722	aug_v2a.07977	aug_v2a.10085	aug_v2a.17293	aug_v2a.23096	aug_v2a.12473	aug_v2a.24437	aug_v2a.02311
aug_v2a.15882	aug_v2a.23566	aug_v2a.13251	aug_v2a.11519	aug_v2a.19100	aug_v2a.01669	NA	aug_v2a.20007	aug_v2a.14282	aug_v2a.04390	aug_v2a.09319	aug_v2a.01194	aug_v2a.18945	aug_v2a.06336	aug_v2a.16342	aug_v2a.00754	aug_v2a.22450	aug_v2a.15535	aug_v2a.18966	aug_v2a.03632	aug_v2a.16234	aug_v2a.23836	aug_v2a.13169	aug_v2a.23462	aug_v2a.05739
aug_v2a.14998	aug_v2a.14944	aug_v2a.19166	aug_v2a.19732	aug_v2a.08610	aug_v2a.01670	NA	aug_v2a.10751	aug_v2a.11647	aug_v2a.17870	aug_v2a.09841	aug_v2a.17373	aug_v2a.08999	aug_v2a.20740	aug_v2a.08669	aug_v2a.20921	aug_v2a.17436	aug_v2a.15536	aug_v2a.16909	aug_v2a.22234	aug_v2a.23960	aug_v2a.15609	aug_v2a.11535	aug_v2a.12619	aug_v2a.15340
aug_v2a.19463	aug_v2a.23017	aug_v2a.18375	aug_v2a.19729	aug_v2a.22512	aug_v2a.14192	NA	aug_v2a.12807	aug_v2a.12362	aug_v2a.21818	aug_v2a.20028	aug_v2a.05473	aug_v2a.13261	aug_v2a.16462	aug_v2a.24355	aug_v2a.01536	aug_v2a.09832	aug_v2a.13815	aug_v2a.00288	aug_v2a.23437	aug_v2a.19379	aug_v2a.18754	aug_v2a.19929	aug_v2a.03121	aug_v2a.17524
aug_v2a.10411	aug_v2a.16865	aug_v2a.11630	aug_v2a.01198	aug_v2a.21678	aug_v2a.03493	NA	aug_v2a.06734	aug_v2a.11849	aug_v2a.18796	aug_v2a.00697	aug_v2a.07730	aug_v2a.01330	aug_v2a.16037	aug_v2a.19805	aug_v2a.24077	aug_v2a.11967	aug_v2a.15223	aug_v2a.24179	aug_v2a.06072	aug_v2a.06043	aug_v2a.17690	aug_v2a.08019	aug_v2a.23080	aug_v2a.24080
aug_v2a.21231	aug_v2a.02123	aug_v2a.08539	aug_v2a.09604	aug_v2a.15034	aug_v2a.05203	NA	aug_v2a.10005	aug_v2a.09508	aug_v2a.19687	aug_v2a.21013	aug_v2a.17730	aug_v2a.21199	aug_v2a.19334	aug_v2a.00023	aug_v2a.23204	aug_v2a.19063	aug_v2a.00845	aug_v2a.07695	aug_v2a.09782	aug_v2a.21177	aug_v2a.15795	aug_v2a.16889	aug_v2a.16006	aug_v2a.11710
aug_v2a.19061	aug_v2a.15309	aug_v2a.20274	aug_v2a.14175	aug_v2a.02697	aug_v2a.12100	NA	aug_v2a.23748	aug_v2a.08881	aug_v2a.19688	aug_v2a.03062	aug_v2a.03722	aug_v2a.07777	aug_v2a.09494	aug_v2a.21531	aug_v2a.09033	aug_v2a.07897	aug_v2a.04636	aug_v2a.03049	aug_v2a.22051	aug_v2a.04685	aug_v2a.22613	aug_v2a.01992	aug_v2a.13923	aug_v2a.11708
aug_v2a.07807	aug_v2a.20275	aug_v2a.14236	aug_v2a.21552	aug_v2a.00876	aug_v2a.04862	NA	aug_v2a.23368	aug_v2a.18094	aug_v2a.07333	aug_v2a.19853	aug_v2a.00863	aug_v2a.17122	aug_v2a.21838	aug_v2a.23534	aug_v2a.18919	aug_v2a.11529	aug_v2a.06821	aug_v2a.13577	aug_v2a.03816	aug_v2a.09622	aug_v2a.15812	aug_v2a.01991	aug_v2a.12325	aug_v2a.00401
aug_v2a.01679	aug_v2a.05842	aug_v2a.14665	aug_v2a.03990	NA	aug_v2a.16428	NA	aug_v2a.04537	aug_v2a.04734	aug_v2a.07788	aug_v2a.09700	aug_v2a.06884	aug_v2a.20139	aug_v2a.23289	aug_v2a.19896	aug_v2a.17102	aug_v2a.05566	aug_v2a.23131	aug_v2a.13683	aug_v2a.22128	aug_v2a.17947	aug_v2a.11449	aug_v2a.02983	aug_v2a.18606	aug_v2a.20956
aug_v2a.05205	aug_v2a.02835	aug_v2a.04074	aug_v2a.08893	NA	aug_v2a.01978	NA	aug_v2a.13316	aug_v2a.20015	aug_v2a.05255	aug_v2a.06776	aug_v2a.18795	aug_v2a.16690	aug_v2a.08153	aug_v2a.00638	aug_v2a.12057	aug_v2a.02772	aug_v2a.10170	aug_v2a.22466	aug_v2a.15822	aug_v2a.07681	aug_v2a.07650	aug_v2a.08171	aug_v2a.18704	aug_v2a.04240
aug_v2a.23377	aug_v2a.03706	aug_v2a.13177	aug_v2a.11792	NA	aug_v2a.15257	NA	aug_v2a.18437	aug_v2a.13762	aug_v2a.05280	aug_v2a.05460	aug_v2a.08258	aug_v2a.04492	aug_v2a.02105	aug_v2a.01828	aug_v2a.24237	aug_v2a.13723	aug_v2a.14367	aug_v2a.13507	aug_v2a.17663	aug_v2a.10694	aug_v2a.01026	aug_v2a.09002	aug_v2a.01274	aug_v2a.22493
aug_v2a.09753	aug_v2a.19512	aug_v2a.10114	aug_v2a.10314	NA	aug_v2a.23695	NA	aug_v2a.17481	aug_v2a.12902	aug_v2a.10932	aug_v2a.14195	aug_v2a.23036	aug_v2a.04467	aug_v2a.12914	aug_v2a.03174	aug_v2a.00816	aug_v2a.17252	aug_v2a.04815	aug_v2a.23560	aug_v2a.15441	aug_v2a.05223	aug_v2a.08724	aug_v2a.01118	aug_v2a.15108	aug_v2a.02136
aug_v2a.06205	aug_v2a.22209	aug_v2a.16764	aug_v2a.21178	NA	aug_v2a.00613	NA	aug_v2a.23219	aug_v2a.01730	aug_v2a.02097	aug_v2a.15842	aug_v2a.23037	aug_v2a.15431	aug_v2a.13724	aug_v2a.00671	aug_v2a.06383	aug_v2a.15472	aug_v2a.16036	aug_v2a.14100	aug_v2a.21317	aug_v2a.23085	aug_v2a.13738	aug_v2a.12199	aug_v2a.18448	aug_v2a.16731
aug_v2a.05424	aug_v2a.04714	aug_v2a.22120	aug_v2a.15985	NA	aug_v2a.13539	NA	aug_v2a.17022	aug_v2a.11723	aug_v2a.09302	aug_v2a.14820	aug_v2a.11547	aug_v2a.07010	aug_v2a.14118	aug_v2a.16412	aug_v2a.09481	aug_v2a.10506	aug_v2a.20670	aug_v2a.20301	aug_v2a.03266	aug_v2a.08617	aug_v2a.17247	aug_v2a.16974	aug_v2a.23077	aug_v2a.18761
aug_v2a.00120	aug_v2a.20003	aug_v2a.14209	aug_v2a.00719	NA	aug_v2a.11189	NA	aug_v2a.14128	aug_v2a.17460	aug_v2a.13856	aug_v2a.14906	aug_v2a.13806	aug_v2a.03323	aug_v2a.00060	aug_v2a.15874	aug_v2a.15487	aug_v2a.19523	aug_v2a.17167	aug_v2a.14095	aug_v2a.02331	aug_v2a.17684	aug_v2a.00986	aug_v2a.01135	aug_v2a.13179	aug_v2a.13839
aug_v2a.19129	aug_v2a.17845	aug_v2a.13597	aug_v2a.11481	NA	aug_v2a.04897	NA	aug_v2a.15357	aug_v2a.02477	aug_v2a.20309	aug_v2a.11510	aug_v2a.22520	aug_v2a.05343	aug_v2a.18281	aug_v2a.14412	aug_v2a.12915	aug_v2a.04955	aug_v2a.02874	aug_v2a.00758	aug_v2a.17653	aug_v2a.20154	aug_v2a.07006	aug_v2a.15783	aug_v2a.12226	aug_v2a.22778
