ID	logFC	adj.P.Val
aug_v2a.16049	0.604305579	0.046170521
aug_v2a.03564	-0.283703853	0.019227418
aug_v2a.19379	0.409370402	0.007727163
aug_v2a.17916	-0.409472858	0.014808069
aug_v2a.20671	1.441497498	0.000087
aug_v2a.01430	0.403638139	0.040503778
aug_v2a.19335	0.689023365	0.0238194
aug_v2a.18280	0.65282036	0.038704191
aug_v2a.01992	0.436448525	0.037110315
aug_v2a.08728	-0.344985706	0.040243181
aug_v2a.13058	0.331272794	0.039057372
aug_v2a.11362	0.637689975	0.044721394
aug_v2a.06696	0.964081911	0.0482999
aug_v2a.14647	-0.333643344	0.002091746
aug_v2a.13799	-0.467905176	0.022210629
aug_v2a.14594	0.459028057	0.008618017
aug_v2a.03197	1.051931859	0.029303404
aug_v2a.06144	0.469833893	0.046011517
aug_v2a.11072	0.817284051	0.009010481
aug_v2a.08228	-0.258985659	0.042357453
aug_v2a.14188	-0.259229044	0.032221342
aug_v2a.17235	0.558548293	0.004027341
aug_v2a.14341	-0.39619488	0.005686634
aug_v2a.15468	0.507617066	0.026914578
aug_v2a.13501	-0.56355783	0.018048859
aug_v2a.15748	-1.008801144	0.014072871
aug_v2a.24110	-0.878541854	0.046827033
aug_v2a.17023	0.511952883	0.018558475
aug_v2a.02727	-0.898392021	0.024347873
aug_v2a.13590	0.722288978	0.013805625
aug_v2a.00907	-0.769041547	0.020560892
aug_v2a.18278	-0.690086296	0.033571789
aug_v2a.15057	1.862042213	0.0000174
aug_v2a.18445	-0.525445865	0.027049747
aug_v2a.21475	-0.58521961	0.002003099
aug_v2a.14649	-0.73308554	0.032196683
aug_v2a.16789	-0.83612808	0.000160733
aug_v2a.16924	0.819691947	0.040243181
aug_v2a.24190	0.854201896	0.021834035
aug_v2a.01435	0.65397853	0.024338673
aug_v2a.21989	0.824500342	0.028310211
aug_v2a.23797	0.911517948	0.02594074
aug_v2a.11820	0.936805433	0.009749486
aug_v2a.04167	0.761727632	0.024944591
aug_v2a.20721	0.537245711	0.00308866
aug_v2a.00821	0.793647151	0.008889815
aug_v2a.22640	0.968257051	0.02594074
aug_v2a.24748	0.496583189	0.00608182
aug_v2a.07608	1.036477063	0.016504637
aug_v2a.10018	-0.193223103	0.018225872
aug_v2a.24041	0.959011574	0.038927886
aug_v2a.02461	0.306114193	0.005467335
aug_v2a.17584	1.18764413	0.002420865
aug_v2a.14360	0.950671872	0.012473143
aug_v2a.23044	-1.108196034	0.016447936
aug_v2a.08624	0.378715178	0.024597613
aug_v2a.16998	0.845099258	0.001491932
aug_v2a.01516	0.311125057	0.025816993
aug_v2a.15897	-0.943362792	0.037584406
aug_v2a.06921	-0.994200975	0.012597157
aug_v2a.15919	1.290223491	0.007542905
aug_v2a.08512	-0.414662419	0.009018652
aug_v2a.08448	-0.44278203	0.01906842
aug_v2a.15098	-1.052077326	0.022157806
aug_v2a.17160	0.960276646	0.040243181
aug_v2a.24177	1.177293932	0.013703986
aug_v2a.23214	0.644858493	0.04938213
aug_v2a.22242	1.004051565	0.034515161
aug_v2a.14297	-0.384724805	0.022549166
aug_v2a.08379	0.758469875	0.046612403
aug_v2a.17231	0.89817163	0.045457761
aug_v2a.00311	0.842105432	0.007314838
aug_v2a.10747	1.225203663	0.011902349
aug_v2a.18226	1.487487175	0.001577338
aug_v2a.17426	1.633135313	0.000284765
aug_v2a.00407	1.564509892	0.000870691
aug_v2a.23130	1.064166937	0.0210343
aug_v2a.00143	0.422833012	0.015937133
aug_v2a.07665	0.938491243	0.002535718
aug_v2a.13122	-0.794883439	0.017826375
aug_v2a.21057	-1.393925617	4E-10
aug_v2a.05180	-0.340160934	0.022747484
aug_v2a.16247	-0.794129914	0.013247704
aug_v2a.07477	0.605335888	0.014808069
aug_v2a.04930	-0.834049952	0.007538618
aug_v2a.23697	-0.306254909	0.012944636
aug_v2a.07084	0.965527205	0.041839449
aug_v2a.20497	1.004463599	0.001219748
aug_v2a.13015	-0.791255277	0.017896905
aug_v2a.14254	-0.393137179	0.015721838
aug_v2a.17035	-0.549472013	0.005695471
aug_v2a.21193	-0.677227431	0.0000269
aug_v2a.14261	-0.367199867	0.009431763
aug_v2a.03683	0.553545697	0.01054246
aug_v2a.23481	-0.752569847	0.022747484
aug_v2a.17481	-0.697620981	0.030771813
aug_v2a.06457	-1.341321688	0.001441594
aug_v2a.18539	-0.768676748	0.029213002
aug_v2a.10489	-0.815432489	0.02345153
aug_v2a.24618	-0.754411121	0.009431763
aug_v2a.05200	-0.666863249	0.000306796
aug_v2a.20375	0.985576514	0.019315005
aug_v2a.03075	1.210808815	0.01186801
aug_v2a.10436	-0.61147074	0.001988982
aug_v2a.10448	1.117518402	0.008970037
aug_v2a.13890	-0.711980432	0.044634707
aug_v2a.19391	0.879365898	0.040669043
aug_v2a.01176	-0.607688426	0.000047
aug_v2a.14832	-0.440558581	0.015541023
aug_v2a.02299	-0.586685901	0.024338673
aug_v2a.18915	-0.236115689	0.036802792
aug_v2a.10750	-0.815479247	0.04374328
aug_v2a.06978	-0.318711846	0.026854135
aug_v2a.14833	-0.602447756	0.026364
aug_v2a.03588	0.931409315	0.020060602
aug_v2a.05542	-0.251751617	0.02180848
aug_v2a.19171	0.690392944	0.037426225
aug_v2a.11740	0.673656122	0.001444563
aug_v2a.21070	-0.980705633	0.01375047
aug_v2a.10931	-0.570361046	0.001625242
aug_v2a.03698	-1.839523506	2.72E-31
aug_v2a.14671	0.558099841	0.029647566
aug_v2a.14295	0.511228435	0.027840533
aug_v2a.10141	0.324321592	0.019021934
aug_v2a.07506	-0.403036888	0.037589264
aug_v2a.01649	-0.205780993	0.04724857
aug_v2a.17381	0.844951106	0.020832973
aug_v2a.01537	1.126524524	0.002675122
aug_v2a.19180	0.678947118	0.045785737
aug_v2a.13071	-1.267271436	0.0000269
aug_v2a.19687	-0.429315444	0.02125738
aug_v2a.15791	0.468595914	0.028205174
aug_v2a.19559	0.366251449	0.020551163
aug_v2a.22395	-0.442406983	0.018116622
aug_v2a.07764	0.628436227	0.021068677
aug_v2a.07487	0.63651516	0.013072244
aug_v2a.06617	0.759967462	0.013985774
aug_v2a.24381	-0.686547671	0.048261622
aug_v2a.16765	0.40059871	0.048411918
aug_v2a.10377	0.444009801	0.041379129
aug_v2a.24187	1.624730516	0.0000352
aug_v2a.16651	1.410415421	0.0000517
aug_v2a.11668	1.279475594	0.000466009
aug_v2a.15233	0.712088098	0.039170303
aug_v2a.23885	0.946954605	0.04565705
aug_v2a.11667	1.634276392	0.0000667
aug_v2a.18707	0.903054193	0.013304215
aug_v2a.06211	1.431808748	0.000244836
aug_v2a.03150	0.664556739	0.016350176
aug_v2a.11816	1.284504791	0.000163159
aug_v2a.11817	0.892729435	0.000491022
aug_v2a.00936	0.653744999	0.005237266
aug_v2a.12144	1.147419403	0.01375047
aug_v2a.07763	0.461644614	0.019327002
aug_v2a.24436	0.674443512	0.038372334
aug_v2a.16955	0.628698605	0.027813927
aug_v2a.17423	0.986373134	0.018751286
