ID	logFC	adj.P.Val
aug_v2a.12553	-0.863668382	0.022333879
aug_v2a.05705	-0.859709754	0.0000007
aug_v2a.13168	-0.85936222	0.004210982
aug_v2a.21212	-0.858604639	0.000149112
aug_v2a.04277	-0.857130202	5.36E-08
aug_v2a.21849	-0.856685506	0.044270185
aug_v2a.06126	-0.853382257	0.000320999
aug_v2a.15148	-0.852667899	0.002081799
aug_v2a.05184	-0.852543012	0.001059803
aug_v2a.14983	-0.851184269	0.0000312
aug_v2a.12329	-0.850926688	0.027376959
aug_v2a.09509	-0.847314582	0.000470828
aug_v2a.18266	-0.846880166	0.008549168
aug_v2a.18083	-0.846837974	0.00050583
aug_v2a.02001	-0.845859021	0.0000141
aug_v2a.19666	-0.844027202	0.000545752
aug_v2a.10300	-0.84375805	0.000162519
aug_v2a.14783	-0.842826119	0.000000225
aug_v2a.01347	-0.841490302	0.010164629
aug_v2a.17635	-0.841487765	0.00000422
aug_v2a.02413	-0.840597515	0.0000478
aug_v2a.16359	-0.839451661	0.001171331
aug_v2a.17443	-0.837529739	0.001207736
aug_v2a.01716	-0.836678758	0.000989872
aug_v2a.11518	-0.83590494	0.001218793
aug_v2a.13912	-0.835754161	0.000603095
aug_v2a.14894	-0.83566215	0.02835155
aug_v2a.13153	-0.833565313	0.000344508
aug_v2a.22251	-0.833121865	0.000265683
aug_v2a.03804	-0.832023723	0.0000114
aug_v2a.22681	-0.831900919	0.000103971
aug_v2a.02857	-0.830354284	0.025791671
aug_v2a.17018	-0.829427607	0.000169429
aug_v2a.06914	-0.826156383	0.000561604
aug_v2a.05862	-0.825154034	0.0000917
aug_v2a.15858	-0.824265351	0.002325467
aug_v2a.09574	-0.823030751	0.000218484
aug_v2a.20443	-0.822089631	0.001480296
aug_v2a.05560	-0.821870065	0.00000537
aug_v2a.19316	-0.82183354	0.000265846
aug_v2a.24039	-0.820900989	0.00000704
aug_v2a.14346	-0.82058304	0.000111863
aug_v2a.14916	-0.820000158	0.0000846
aug_v2a.01317	-0.819684531	0.000395632
aug_v2a.22215	-0.818547391	0.000614418
aug_v2a.00405	-0.818530285	0.028913553
aug_v2a.04635	-0.818315624	0.001370269
aug_v2a.07056	-0.817374723	0.000898202
aug_v2a.02792	-0.816864381	0.000196576
aug_v2a.20478	-0.816465892	0.00118259
aug_v2a.03395	-0.815707109	0.0000496
aug_v2a.09629	-0.814355258	0.002869483
aug_v2a.00884	-0.812715246	0.006592633
aug_v2a.19329	-0.812549954	0.000466664
aug_v2a.10229	-0.812042943	0.017761191
aug_v2a.08064	-0.811549683	0.0000364
aug_v2a.08001	-0.810970153	0.000602944
aug_v2a.21743	-0.810853422	0.000553035
aug_v2a.19132	-0.810377698	0.008891456
aug_v2a.23508	-0.810229888	0.00000862
aug_v2a.17154	-0.806770187	0.002944968
aug_v2a.03875	-0.805242511	0.044469405
aug_v2a.18203	-0.804692448	0.001866911
aug_v2a.09658	-0.803625625	0.0000308
aug_v2a.02716	-0.803232515	0.00923165
aug_v2a.12748	-0.803102355	0.0000145
aug_v2a.17049	-0.802997747	5.52E-08
aug_v2a.16634	-0.801946047	0.000953747
aug_v2a.01417	-0.801920159	0.001647072
aug_v2a.13225	-0.801229573	0.000058
aug_v2a.10100	-0.800913501	0.000324588
aug_v2a.01917	-0.80021931	0.000631261
aug_v2a.22231	-0.798224689	0.043620076
aug_v2a.17237	-0.797628927	0.000520364
aug_v2a.09521	-0.797435594	0.004465313
aug_v2a.14578	-0.797310809	0.0000274
aug_v2a.10908	-0.796867578	0.0000338
aug_v2a.03890	-0.793655422	0.0000257
aug_v2a.12377	-0.793158604	0.00483295
aug_v2a.21835	-0.792103467	0.001632622
aug_v2a.16760	-0.791673635	0.0000182
aug_v2a.00594	-0.789060964	0.001599803
aug_v2a.07747	-0.788983526	0.0000476
aug_v2a.12501	-0.788245122	0.013116868
aug_v2a.17086	-0.7862685	0.002425586
aug_v2a.12186	-0.786186027	0.00000348
aug_v2a.19242	-0.786158374	0.00193826
aug_v2a.17433	-0.785912737	0.0000794
aug_v2a.13211	-0.784492335	0.00000278
aug_v2a.05859	-0.784285161	0.029981185
aug_v2a.03639	-0.783444933	0.00023944
aug_v2a.14681	-0.783240322	0.002229804
aug_v2a.19029	-0.783165316	0.004664043
aug_v2a.16816	-0.7822831	0.004321103
aug_v2a.19165	-0.782208925	0.046823327
aug_v2a.24547	-0.78090883	0.000436532
aug_v2a.14830	-0.780061942	0.000442848
aug_v2a.20165	-0.7798362	0.033824194
aug_v2a.16453	-0.779457048	0.00000665
aug_v2a.01699	-0.779229417	0.044073687
aug_v2a.06115	-0.777654927	0.00045384
aug_v2a.10550	-0.777599488	0.007963641
aug_v2a.17354	-0.777402554	0.002323436
aug_v2a.07031	-0.776337487	0.009504788
aug_v2a.03861	-0.776114396	0.010678251
aug_v2a.04548	-0.774478698	0.007231012
aug_v2a.06557	-0.774392205	0.000257778
aug_v2a.22118	-0.774220611	0.00000137
aug_v2a.21422	-0.773797064	0.020961719
aug_v2a.11172	-0.773185075	0.022045123
aug_v2a.17833	-0.77244517	0.00016117
aug_v2a.04591	-0.7722553	0.0000129
aug_v2a.15135	-0.771598422	0.0000491
aug_v2a.11917	-0.770114393	0.000168767
aug_v2a.15975	-0.769553703	0.001859437
aug_v2a.16024	-0.768548217	0.026953501
aug_v2a.09322	-0.767228339	0.02272229
aug_v2a.20480	-0.76620715	0.000893056
aug_v2a.19088	-0.765897752	0.025750309
aug_v2a.23408	-0.765659971	0.000159747
aug_v2a.11077	-0.765556972	0.000131715
aug_v2a.18111	-0.76517673	0.00000866
aug_v2a.04738	-0.764430093	0.000822587
aug_v2a.23561	-0.762212641	0.000542794
aug_v2a.01090	-0.761793431	0.000393199
aug_v2a.02678	-0.761747421	0.000675376
aug_v2a.20123	-0.761723675	0.012618666
aug_v2a.06183	-0.761330435	0.046370192
aug_v2a.19093	-0.761313588	0.008186487
aug_v2a.14572	-0.759228959	0.00215957
aug_v2a.14347	-0.759176912	0.00000166
aug_v2a.21639	-0.759175193	0.0000473
aug_v2a.00009	-0.758088828	0.006168866
aug_v2a.09254	-0.758071936	0.006716257
aug_v2a.19564	-0.756989568	0.0000134
aug_v2a.15299	-0.756506963	0.000517982
aug_v2a.12336	-0.75648743	0.0000419
aug_v2a.24671	-0.755139318	0.036285682
aug_v2a.09862	-0.754704162	0.000369654
aug_v2a.15298	-0.754632543	0.001025401
aug_v2a.19172	-0.754611446	0.045270046
aug_v2a.12500	-0.754453971	0.0000642
aug_v2a.09185	-0.754378725	0.001136621
aug_v2a.07274	-0.753656124	0.00000142
aug_v2a.11258	-0.753133816	0.000141629
aug_v2a.09393	-0.752869049	0.001022551
aug_v2a.22045	-0.751998962	0.000112022
aug_v2a.16452	-0.751435319	0.00000833
aug_v2a.13779	-0.751266798	0.027170782
aug_v2a.18519	-0.751196565	0.002950772
aug_v2a.19563	-0.750977068	0.000094
aug_v2a.11688	-0.750452128	0.0000805
aug_v2a.02358	-0.746425089	0.0000349
aug_v2a.13057	-0.746359497	0.008717792
aug_v2a.16070	-0.746327491	0.000482629
aug_v2a.00977	-0.74577422	0.000445195
aug_v2a.14489	-0.743029147	0.0000343
aug_v2a.04224	-0.740342794	0.001491305
aug_v2a.16868	-0.739372784	0.000021
aug_v2a.07199	-0.739123106	0.000206793
aug_v2a.12597	-0.738318652	0.000000861
aug_v2a.14843	-0.737601696	0.000398336
aug_v2a.10512	-0.737165838	0.0000633
aug_v2a.02043	-0.736108398	0.00153312
aug_v2a.14561	-0.735717197	0.000566173
aug_v2a.09446	-0.735630397	0.007589539
aug_v2a.20017	-0.73504187	0.001620738
aug_v2a.23060	-0.734095986	0.002482694
aug_v2a.06143	-0.734015155	0.014021461
aug_v2a.04824	-0.733857092	0.000179877
aug_v2a.06586	-0.733573458	0.000161309
aug_v2a.16067	-0.732980619	0.027447452
aug_v2a.14484	-0.732506279	0.00000173
aug_v2a.16262	-0.730631335	0.000216875
aug_v2a.02873	-0.729222106	0.00112499
aug_v2a.10973	-0.728823927	0.030541898
aug_v2a.18332	-0.728100304	0.041905574
aug_v2a.20125	-0.727955273	0.004437504
aug_v2a.16315	-0.727680583	0.002403303
aug_v2a.20787	-0.727259211	0.0000111
aug_v2a.05022	-0.726262017	0.001921
aug_v2a.17083	-0.724615487	0.004210303
aug_v2a.23148	-0.724194891	0.0000503
aug_v2a.08808	-0.723938324	0.0000635
aug_v2a.13187	-0.723753306	0.000248086
aug_v2a.15557	-0.723529637	0.029831218
aug_v2a.22250	-0.722890717	0.002097412
aug_v2a.11234	-0.72250162	0.000156594
aug_v2a.10731	-0.721949635	0.000031
aug_v2a.16846	-0.721760576	0.008098376
aug_v2a.03670	-0.72133219	0.028863405
aug_v2a.24099	-0.721134214	0.0000285
aug_v2a.15247	-0.721073038	0.007567924
aug_v2a.14761	-0.721033185	0.0000144
aug_v2a.08339	-0.720767918	0.00010741
aug_v2a.08002	-0.720390109	0.000175736
aug_v2a.13154	-0.719610251	0.000475928
aug_v2a.16029	-0.719017934	0.00000822
aug_v2a.19831	-0.717570675	0.0000105
aug_v2a.00940	-0.717526645	0.0000374
aug_v2a.01085	-0.715803063	0.001319265
aug_v2a.12129	-0.714919061	0.0000365
aug_v2a.01370	-0.714390823	0.00048948
aug_v2a.22356	-0.714248028	0.0000154
aug_v2a.00881	-0.714007127	0.000128589
