ID	logFC	adj.P.Val
aug_v2a.08967	0.959461017	0.019884345
aug_v2a.11752	0.927900582	0.043018197
aug_v2a.08911	-0.751289922	0.020961503
aug_v2a.19414	0.566537902	0.048964167
aug_v2a.08476	-1.345957481	2.75256E-13
aug_v2a.20573	0.524445729	0.038380207
aug_v2a.17722	-0.58344378	0.009279387
aug_v2a.10627	-0.577213825	0.001634165
aug_v2a.14104	-0.510651192	0.017109813
aug_v2a.15385	-0.614253982	0.001741259
aug_v2a.01315	0.349822868	0.037303254
aug_v2a.12331	-0.492661687	0.004626587
aug_v2a.07409	-0.694458998	1.82941E-05
aug_v2a.14756	-0.474297016	0.001843694
aug_v2a.07488	-0.525995706	0.000982319
aug_v2a.21763	-0.453963773	0.007438629
aug_v2a.11487	-0.345760184	0.030907984
aug_v2a.12850	-0.501475429	0.000442975
aug_v2a.14451	-0.319250986	0.040369764
aug_v2a.16851	-0.332312972	0.020753581
aug_v2a.05999	-0.563427626	0.00013964
aug_v2a.10975	-0.279209796	0.045281184
aug_v2a.14698	-0.287889451	0.00823017
aug_v2a.02628	-0.346441646	0.005137075
aug_v2a.04808	-0.453818795	0.000330108
aug_v2a.11727	-0.272812467	0.007644973
aug_v2a.03435	0.408069506	4.83738E-06
aug_v2a.18353	0.308759452	0.001131641
aug_v2a.11361	-0.285730563	0.024213499
aug_v2a.13869	0.742992407	5.78695E-09
aug_v2a.02005	0.313464835	0.036075143
aug_v2a.04696	0.359310166	0.015920953
aug_v2a.08813	0.345366736	0.007028205
aug_v2a.22667	0.343054429	0.037365222
aug_v2a.24551	-0.36142761	0.041745327
aug_v2a.19620	0.511192505	0.002280195
aug_v2a.08028	0.477863869	0.001015722
aug_v2a.03511	0.504058778	5.0429E-05
aug_v2a.19049	0.398590095	0.040567666
aug_v2a.10377	0.460266425	0.024134235
aug_v2a.06524	0.359795322	0.011716518
aug_v2a.12605	0.593119564	0.003895601
aug_v2a.10634	0.661259173	0.003402393
aug_v2a.00874	0.60227922	0.009136307
aug_v2a.06543	0.510594306	0.034063238
aug_v2a.00991	0.53141177	0.035480826
aug_v2a.21578	1.008852375	8.35585E-08
aug_v2a.07529	0.893394319	2.06808E-05
aug_v2a.24541	0.537926464	0.036980613
aug_v2a.18327	0.886162065	0.02319512
aug_v2a.24164	1.284232746	0.004878688
aug_v2a.05382	0.815204738	0.035022252
aug_v2a.01580	0.809101978	0.047213928
aug_v2a.24312	1.162730603	0.036707588
aug_v2a.24719	0.98746972	0.035022252
aug_v2a.03891	1.303317938	0.001007662
aug_v2a.00382	-1.415678211	0.002456984
aug_v2a.16371	-0.595213822	0.026206596
aug_v2a.05098	0.73694286	0.015919558
aug_v2a.20372	0.749001275	0.033544916
aug_v2a.16283	0.622402444	0.027357439
aug_v2a.10681	0.913185254	0.031862813
aug_v2a.04641	-0.740668711	0.000601748
aug_v2a.17192	1.146561157	0.004142435
aug_v2a.16234	0.898613257	0.03182415
aug_v2a.22786	0.93705433	0.021411546
aug_v2a.21065	0.799075281	0.024975854
aug_v2a.14186	0.732109251	0.042329483
aug_v2a.02051	0.670869823	0.027584557
aug_v2a.22061	0.743812708	0.037494422
aug_v2a.23200	0.821756004	0.009978226
aug_v2a.15389	0.833328696	0.032554111
aug_v2a.10712	-0.713317897	0.000947289
aug_v2a.15459	0.771842387	0.049783165
aug_v2a.11458	1.13100386	0.001211381
aug_v2a.03951	0.60184314	0.046907968
aug_v2a.14401	0.660585261	0.011472469
aug_v2a.04914	0.679308784	0.014688929
aug_v2a.24303	0.696631877	0.023702618
aug_v2a.15297	0.701074549	0.04665766
aug_v2a.04329	0.899157768	0.003021738
aug_v2a.04077	0.783377323	0.018068496
aug_v2a.15468	1.088663393	1.12726E-08
aug_v2a.01098	0.47229867	0.038865103
aug_v2a.17045	0.543605058	0.045706812
aug_v2a.21950	0.641401933	0.020456365
aug_v2a.19454	0.587136607	0.011214526
aug_v2a.16955	0.67240573	0.013533078
aug_v2a.10886	0.610047576	0.006293371
aug_v2a.05297	0.347404736	0.026324326
aug_v2a.17639	0.732982324	0.018520044
aug_v2a.19738	0.553997303	0.015574701
aug_v2a.15456	0.474646961	0.045706812
aug_v2a.22354	0.571507522	0.030497644
aug_v2a.02262	0.541513565	0.040595276
aug_v2a.23559	0.423823701	0.037836289
aug_v2a.04136	0.578286038	0.046292452
aug_v2a.20600	0.89479077	0.000201017
aug_v2a.00936	0.503543738	0.035320983
aug_v2a.15000	0.435469348	0.034535459
aug_v2a.07605	0.550354573	0.007437981
aug_v2a.13359	0.445789344	0.037365222
aug_v2a.12861	0.452320327	0.042350363
aug_v2a.13112	0.638628801	0.005881968
aug_v2a.14327	0.589232415	0.020819328
aug_v2a.13194	0.729250734	0.00220227
aug_v2a.13700	0.388637294	0.035009084
aug_v2a.23879	0.46445056	0.03358877
aug_v2a.18435	0.504755663	0.023464203
aug_v2a.21205	0.471295693	0.022850425
aug_v2a.04149	0.487995885	0.037836289
aug_v2a.12086	0.755145748	0.002656017
aug_v2a.18804	0.453526124	0.041256783
aug_v2a.08288	0.682626171	0.001987317
aug_v2a.13361	0.545760095	0.023429864
aug_v2a.06821	0.355437814	0.027584557
aug_v2a.07528	0.429780835	0.004187457
aug_v2a.14781	-0.445581371	0.031416221
aug_v2a.00547	0.542267088	0.017558942
aug_v2a.19153	0.828178862	7.24566E-05
aug_v2a.05830	0.441404954	0.019132523
aug_v2a.21924	0.297382124	0.036202778
aug_v2a.13424	0.422502535	0.006259555
aug_v2a.14800	0.659014546	7.4248E-07
aug_v2a.10371	0.671910806	0.000462043
aug_v2a.08132	0.443644058	0.023142014
aug_v2a.01331	0.411567499	0.045051153
aug_v2a.01035	0.417352248	0.008718912
aug_v2a.06095	0.384027437	0.014524601
aug_v2a.16552	0.445444896	0.018957458
aug_v2a.05956	0.414336555	0.035154947
aug_v2a.20974	0.479364719	0.013468536
aug_v2a.06677	-0.578431925	0.00300641
aug_v2a.06096	0.537298826	0.000450839
aug_v2a.08282	-0.434894312	0.022831096
aug_v2a.16493	0.409556445	6.85533E-06
aug_v2a.15533	-0.452297771	0.006295521
aug_v2a.12935	0.275613946	0.046169333
aug_v2a.06535	0.427659037	0.015373898
aug_v2a.05972	0.361051972	0.028273816
aug_v2a.21207	0.422297298	0.019777737
aug_v2a.15909	-0.402401694	0.02296579
aug_v2a.14680	0.412413443	0.003484762
aug_v2a.05522	-0.439077038	0.000671531
aug_v2a.09507	0.326089077	0.024622202
aug_v2a.14763	0.714855263	1.97813E-07
aug_v2a.01058	0.323087164	0.032200484
aug_v2a.16057	0.284649189	0.040404084
aug_v2a.07133	-0.253795543	0.013926845
aug_v2a.21782	0.303664109	0.003677711
aug_v2a.12916	0.213198902	0.024803084
aug_v2a.13246	0.3039886	0.014504253
aug_v2a.06812	0.278066359	0.013737791
aug_v2a.13789	0.3206834	0.002227592
aug_v2a.10807	0.442029807	0.000275828
aug_v2a.01380	0.216564813	0.044308038
aug_v2a.04392	-0.209653281	0.027446272
aug_v2a.22792	-0.256523926	0.014128805
aug_v2a.18554	-0.30696898	3.13575E-06
aug_v2a.06579	-0.356457188	1.34236E-06
aug_v2a.05155	-0.257718519	0.00295476
aug_v2a.13922	-0.236319111	0.013860001
aug_v2a.21797	-0.247942872	0.00277607
aug_v2a.01673	-0.285811335	0.007694964
aug_v2a.17252	-0.236732573	0.006312447
aug_v2a.01944	-0.296204761	0.003567059
aug_v2a.13024	0.408955875	3.60349E-06
aug_v2a.24591	0.196694982	0.029901323
aug_v2a.05465	-0.519745152	1.14618E-07
aug_v2a.04486	0.389348828	0.000177217
aug_v2a.03047	-0.272802931	0.016133702
aug_v2a.14647	-0.39926009	0.000218151
aug_v2a.10433	-0.325081675	8.2281E-05
aug_v2a.21018	-0.365395789	0.001346263
aug_v2a.05245	-0.198718929	0.044756624
aug_v2a.01553	-0.25600118	0.035014903
aug_v2a.08841	-0.200867742	0.016608159
aug_v2a.01062	-0.270836049	0.024334698
aug_v2a.17956	-0.263456878	0.015289439
aug_v2a.09673	-0.530626691	1.00845E-05
aug_v2a.09722	-0.268601508	0.04061609
aug_v2a.12580	-0.294314935	0.021441805
aug_v2a.06216	-0.563515498	1.29232E-07
aug_v2a.18094	-0.313454267	0.015918388
aug_v2a.22802	-0.318163351	0.00950442
aug_v2a.11200	-0.365805939	0.004966306
aug_v2a.12710	-0.354443457	0.001146546
aug_v2a.02587	-0.261476768	0.0411794
aug_v2a.17097	-0.35988184	0.000281822
aug_v2a.18553	-0.327271909	0.002063856
aug_v2a.09704	-0.26736019	0.008321036
aug_v2a.24055	-0.396514913	0.000859698
aug_v2a.19819	-0.514212466	0.000133565
aug_v2a.19870	-0.283045542	0.033451784
aug_v2a.20473	-0.303719762	0.018520044
aug_v2a.10283	-0.245698318	0.005171658
aug_v2a.14849	-0.340922838	0.003020566
aug_v2a.16934	-0.318877027	0.002867151
aug_v2a.19063	-0.295854024	0.024545338
aug_v2a.11423	-0.392641696	0.002292838
aug_v2a.24557	-0.336929131	0.004679681
aug_v2a.16254	-0.560146958	1.89347E-05
aug_v2a.01532	-0.247607197	0.041049247
aug_v2a.01811	-0.257826235	0.04053705
aug_v2a.23657	-0.377821922	0.014831279
aug_v2a.15227	-0.416471854	0.001831356
aug_v2a.03169	-0.832144272	1.86664E-09
aug_v2a.06006	0.234234654	0.019010896
aug_v2a.23457	0.276126759	0.006035625
aug_v2a.19310	-0.32354694	0.006210626
aug_v2a.21909	-0.364686352	0.024355579
aug_v2a.00586	-0.43098056	6.72666E-05
aug_v2a.00606	0.532501696	0.000191888
aug_v2a.09243	-0.640180819	7.21439E-06
aug_v2a.11003	-0.311199237	0.033843484
aug_v2a.03839	0.268629372	0.019635379
aug_v2a.01993	-0.585123314	8.43799E-07
aug_v2a.23644	-0.318438792	0.035400423
aug_v2a.10243	-0.339105986	0.007860167
aug_v2a.12047	-0.327042089	0.011707794
aug_v2a.16163	-0.328377558	0.012499505
aug_v2a.12770	-0.314342433	0.044989281
aug_v2a.04503	-0.390098345	0.001166071
aug_v2a.14097	-0.377830502	0.001061086
aug_v2a.08139	-0.519806938	9.79459E-09
aug_v2a.14235	-0.853378146	1.76552E-15
aug_v2a.00176	-0.332267545	0.031398333
aug_v2a.07131	-0.480761267	7.09916E-05
aug_v2a.09071	-0.279947527	0.039340274
aug_v2a.10901	-0.824993687	5.09836E-23
aug_v2a.12192	-0.634320168	5.55808E-05
aug_v2a.05982	-0.354519305	0.026921828
aug_v2a.01578	-0.2749016	0.047786381
aug_v2a.04011	-0.389282202	0.01612221
aug_v2a.02129	-0.474983866	0.005121983
aug_v2a.13190	0.322905118	0.045037477
aug_v2a.05078	-0.317785284	0.046687797
