ID	logFC	adj.P.Val
aug_v2a.00993	-0.78651299	0.001304029
aug_v2a.01394	-0.727790272	0.015489822
aug_v2a.01426	-0.760594331	0.00449391
aug_v2a.04903	-0.618853019	0.005140736
aug_v2a.10627	-0.561540746	0.003947887
aug_v2a.15385	-0.45572304	0.028873099
aug_v2a.23649	-0.523965526	0.00569952
aug_v2a.17631	-0.456835298	0.015549679
aug_v2a.23510	-0.424925898	0.005758458
aug_v2a.02893	-0.354311982	0.030754008
aug_v2a.12839	-0.582000067	9.30697E-05
aug_v2a.07409	-0.362566818	0.044669459
aug_v2a.21763	-0.395531067	0.021984554
aug_v2a.05999	-0.364311106	0.018374465
aug_v2a.14698	-0.229288066	0.043662988
aug_v2a.04808	-0.338598699	0.007161076
aug_v2a.18455	-0.249575687	0.01688991
aug_v2a.11727	-0.226495966	0.028543749
aug_v2a.04043	0.24849423	0.010919565
aug_v2a.08670	0.323588269	7.69126E-06
aug_v2a.07345	0.222303202	0.031852287
aug_v2a.00700	0.225603297	0.031200217
aug_v2a.15122	0.266551085	0.003267765
aug_v2a.06265	0.333135348	0.00013126
aug_v2a.08019	0.288038906	0.018478887
aug_v2a.11227	0.236648175	0.026170099
aug_v2a.24355	0.24498809	0.034110839
aug_v2a.08480	0.300478854	0.005865953
aug_v2a.11912	0.478212848	0.002592879
aug_v2a.00279	0.413273978	0.008687878
aug_v2a.04480	0.358471076	0.021875025
aug_v2a.00494	0.378846605	0.012886233
aug_v2a.23188	0.31968189	0.041843884
aug_v2a.21747	0.457426607	0.010828778
aug_v2a.17942	0.356219966	0.049714672
aug_v2a.02714	0.350363589	0.026563244
aug_v2a.02487	0.535176283	0.00224798
aug_v2a.22717	0.340611815	0.009579533
aug_v2a.19620	-0.470021226	0.010939622
aug_v2a.15512	0.446775983	0.01771326
aug_v2a.16889	0.476368875	0.008448091
aug_v2a.07288	0.524096856	0.002954245
aug_v2a.04259	0.446530132	0.025206855
aug_v2a.21181	0.44168134	0.04683314
aug_v2a.24093	0.435342121	0.010785583
aug_v2a.14559	0.433449482	0.038215792
aug_v2a.12346	0.780687881	0.00067806
aug_v2a.14806	0.483877679	0.026892762
aug_v2a.06467	0.461722303	0.026737024
aug_v2a.14764	0.403970397	0.03700313
aug_v2a.22559	0.696442547	0.001507266
aug_v2a.12605	0.643103825	0.002825255
aug_v2a.21659	0.874519913	0.000256313
aug_v2a.13837	0.431401521	0.017621975
aug_v2a.02589	0.658709048	0.009504128
aug_v2a.05840	0.620944931	0.012550393
aug_v2a.06778	0.8256246	0.001504324
aug_v2a.13589	0.50790491	0.014166657
aug_v2a.03931	0.515351323	0.005555247
aug_v2a.10664	0.997901423	8.41972E-05
aug_v2a.02753	0.7302099	0.003318691
aug_v2a.00991	0.769796817	0.002954245
aug_v2a.21578	0.720333934	0.001802716
aug_v2a.18018	0.531737199	0.048708462
aug_v2a.11296	0.703370956	0.002842276
aug_v2a.17164	0.555790044	0.008871257
aug_v2a.14315	0.564747935	0.039904432
aug_v2a.00862	0.62559244	0.025161709
aug_v2a.18192	0.737046479	0.002479359
aug_v2a.01682	0.860527722	0.001666835
aug_v2a.21609	0.612725559	0.018894753
aug_v2a.15768	0.729258011	0.003910424
aug_v2a.24541	0.770088992	0.002954245
aug_v2a.12932	0.730564456	0.029473534
aug_v2a.08386	0.685376149	0.026549374
aug_v2a.17788	1.104298646	0.001019313
aug_v2a.07006	0.93115778	0.001279272
aug_v2a.03972	1.062157815	0.003625068
