M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25
K04661	K07911	K23222	K04398	NA	K03103	NA	K19721	NA	K00626	K00546	K00573	K02583	K11291	K03131	K22449	K06126	K01681	K04985	K01262	K01578	K10392	K04671	K04592	K05110
K04729	K08076	NA	K04426	NA	K03175	NA	K19721	NA	K00626	K00586	K00586	K02599	K11294	K03133	K22538	K06631	K01712	K04985	K01262	K01723	K10401	K04729	K04600	K05120
K05309	K08076	NA	K05614	NA	K03258	NA	NA	NA	K00654	K00599	K00621	K02599	K11578	K03334	K23539	K06874	K01870	K04988	K01408	K01768	K10409	K04988	K04615	K05120
K05643	K08149	NA	K05673	NA	K03260	NA	NA	NA	K00658	K00600	K00645	K03068	K12178	K03354	NA	K07511	K01880	K04988	K01411	K01868	K10864	K05094	K04615	K05126
K05657	K08333	NA	K06125	NA	K04409	NA	NA	NA	K00658	K00600	K00675	K03173	K12196	K04354	NA	K07910	K01896	K05121	K01411	K01874	K11478	K05094	K04615	K05290
K08375	K08333	NA	K06338	NA	K04437	NA	NA	NA	K00720	K00602	K00717	K03173	K12393	K04358	NA	K07914	K01908	K05691	K01415	K01883	K11584	K05121	K04615	K05673
K08469	K08657	NA	K06645	NA	K04437	NA	NA	NA	K00763	K00615	K00729	K03174	K12480	K04377	NA	K07920	K01908	K05691	K01415	K01886	K11644	K05126	K04615	K06775
K08606	K09275	NA	K06675	NA	K04437	NA	NA	NA	K00789	K00629	K00742	K03175	K12598	K04440	NA	K07923	K01948	K05702	K01415	K01897	K11644	K05126	K04841	K06927
K08869	K09594	NA	K06675	NA	K04520	NA	NA	NA	K00797	K00657	K00746	K03175	K12598	K04499	NA	K08465	K01950	K05703	K01415	K02183	K11804	K05210	K04854	K07359
K08869	K09667	NA	K06767	NA	K04520	NA	NA	NA	K00814	K00750	K00760	K03175	K12827	K04593	NA	K08831	K01950	K05727	K01415	K02183	K13723	K05305	K04930	K07374
K09223	K10265	NA	K07583	NA	K04533	NA	NA	NA	K00831	K00767	K00787	K03175	K12840	K04638	NA	K09349	K01952	K06084	K01490	K02187	K15216	K05312	K04984	K07427
K10169	K10454	NA	K08252	NA	K04560	NA	NA	NA	K00847	K00772	K00799	K03175	K12862	K04698	NA	K09537	K02090	K06084	K01530	K02330	K15716	K05545	K05015	K08252
K10838	K10457	NA	K08333	NA	K04715	NA	NA	NA	K00861	K00798	K00799	K03175	K12867	K04962	NA	K10106	K02157	K06100	K01530	K02355	K16583	K05695	K05015	K08252
K10838	K10772	NA	K08333	NA	K04851	NA	NA	NA	K00922	K00799	K00799	K03392	K13051	K04984	NA	K10313	K02184	K06115	K01689	K02583	K16601	K05925	K05048	K08601
K12311	K10862	NA	K08333	NA	K05012	NA	NA	NA	K00940	K00804	K00826	K03644	K13149	K04984	NA	K10370	K02187	K06107	K01869	K02599	K16669	K06053	K05094	K08793
K12816	K10898	NA	K08654	NA	K05016	NA	NA	NA	K00966	K00826	K00846	K03691	K13937	K05110	NA	K10374	K02187	K06114	K01874	K03018	K16726	K06052	K05094	K08852
K12874	K11491	NA	K08734	NA	K05048	NA	NA	NA	K01025	K00827	K00852	K04364	K14295	K05330	NA	K10374	K02295	K06114	K01897	K03027	K17257	K06066	K05096	K08868
K13366	K11491	NA	K08736	NA	K05122	NA	NA	NA	K01027	K00857	K00942	K04393	K14301	K05543	NA	K10478	K02332	K06115	K01887	K03125	K17461	K06082	K05096	K08892
K13699	K11804	NA	K08765	NA	K05127	NA	NA	NA	K01052	K00864	K00942	K04400	K14791	K05699	NA	K10478	K02367	K06115	K01907	K03132	K17495	K06711	K05126	K08997
K13912	K12890	NA	K08816	NA	K05288	NA	NA	NA	K01052	K00869	K00944	K04460	K15042	K06053	NA	K10644	K02367	K06115	K01951	K03137	K17544	K07827	K05127	K09531
K13912	K13106	NA	K09275	NA	K05631	NA	NA	NA	K01052	K00894	K01016	K04489	K15176	K06062	NA	K11290	K02370	K06115	K01966	K03142	K17580	K08869	K05129	K09848
K14620	K13168	NA	K10263	NA	K05631	NA	NA	NA	K01056	K00894	K01047	K04554	K15293	K06067	NA	K11304	K02599	K06115	K02296	K03163	K17598	K08876	K05292	K10087
K14684	K13212	NA	K10263	NA	K05633	NA	NA	NA	K01061	K00898	K01047	K04569	K15292	K06173	NA	K11417	K02649	K06238	K02324	K03163	K18283	K09228	K05315	K10301
K15015	K13237	NA	K10397	NA	K05662	NA	NA	NA	K01074	K00898	K01061	K04612	K16754	K06234	NA	K11579	K02677	K06240	K02327	K03211	K18411	K09553	K05673	K10324
K15075	K13912	NA	K10744	NA	K05700	NA	NA	NA	K01074	K00915	K01070	K04657	K17345	K06569	NA	K11680	K02725	K06270	K02331	K03213	K18655	K10272	K05695	K10588
K15075	K14293	NA	K10755	NA	K05730	NA	NA	NA	K01135	K00933	K01091	K04984	K17388	K06709	NA	K11842	K02999	K06271	K02350	K03260	K18655	K10612	K05695	K10588
K16816	K14386	NA	K10894	NA	K05730	NA	NA	NA	K01135	K00940	K01125	K05236	K17499	K06711	NA	K11979	K03002	K06530	K02355	K03262	K19671	K10631	K05695	K10588
K17495	K14398	NA	K10894	NA	K05751	NA	NA	NA	K01137	K00949	K01128	K05399	K17562	K06711	NA	K12173	K03002	K06564	K02374	K03462	K19674	K10882	K05695	K10844
K18081	K14440	NA	K10951	NA	K06057	NA	NA	NA	K01175	K00966	K01195	K05543	K17920	K06942	NA	K12177	K03068	K06619	K02374	K03462	K19683	K10884	K05695	K10902
K18168	K14445	NA	K11224	NA	K06095	NA	NA	NA	K01197	K00976	K01254	K05692	K17921	K06961	NA	K12188	K03068	K06776	K02374	K03509	K19868	K11204	K05695	K11093
K18443	K14459	NA	K11093	NA	K06095	NA	NA	NA	K01206	K00993	K01255	K06530	K18037	K06963	NA	K12581	K03099	K07203	K02599	K03509	K20064	K11347	K06053	K11394
K18586	K15196	NA	K11419	NA	K06238	NA	NA	NA	K01229	K01001	K01301	K06560	K18442	K06965	NA	K12757	K03165	K07203	K02599	K03511	K20176	K11424	K06560	K11489
K19360	K15421	NA	K11543	NA	K06265	NA	NA	NA	K01229	K01008	K01480	K06560	K18643	K06965	NA	K12863	K03165	K07203	K02599	K03685	K20198	K11430	K06561	K11491
K19499	K15443	NA	K11976	NA	K06537	NA	NA	NA	K01245	K01011	K01480	K06560	K19656	K07634	NA	K13025	K03175	K07817	K02599	K03695	K21988	K11436	K06639	K11793
K20217	K15451	NA	K12619	NA	K06563	NA	NA	NA	K01253	K01054	K01518	K06629	K20317	K07752	NA	K13176	K03240	K08267	K02685	K03766	K22615	K11547	K06761	K11968
K20795	K15502	NA	K13278	NA	K06664	NA	NA	NA	K01267	K01054	K01522	K06711	K21347	K07756	NA	K13201	K03255	K08399	K02844	K03934	K23438	K11699	K06774	K12820
K20827	K16478	NA	K13864	NA	K06704	NA	NA	NA	K01275	K01077	K01565	K06711	K21852	K07963	NA	K13221	K03255	K08775	K02999	K04362	K23851	K11804	K06777	K12837
K21398	K16610	NA	K13754	NA	K06756	NA	NA	NA	K01276	K01110	K01581	K06767	K22382	K08017	NA	K13337	K03283	K08810	K03018	K04450	NA	K11969	K06777	K12867
K21398	K16896	NA	K13866	NA	K06756	NA	NA	NA	K01285	K01135	K01599	K06773	K23288	K08288	NA	K13344	K03283	K08810	K03021	K04463	NA	K12035	K06820	K12897
K22390	K16896	NA	K13983	NA	K06794	NA	NA	NA	K01307	K01201	K01647	K06794	K23730	K08291	NA	K14210	K03283	K08826	K03068	K04508	NA	K12481	K06841	K13091
K22390	K17382	NA	K14167	NA	K07151	NA	NA	NA	K01365	K01204	K01673	K06826	NA	K08492	NA	K14396	K03283	K08853	K03068	K04515	NA	K12614	K06867	K13170
K22911	K17951	NA	K14209	NA	K07151	NA	NA	NA	K01374	K01228	K01692	K07047	NA	K08857	NA	K14525	K03320	K08855	K03144	K04536	NA	K12735	K06927	K13217
NA	K18134	NA	K14303	NA	K07190	NA	NA	NA	K01410	K01230	K01733	K07189	NA	K09048	NA	K14566	K03654	K08857	K03142	K04648	NA	K12870	K07126	K14165
NA	K18669	NA	K14315	NA	K07197	NA	NA	NA	K01431	K01253	K01800	K07189	NA	K09228	NA	K14560	K04237	K08873	K03142	K04648	NA	K12879	K07369	K14376
NA	K18703	NA	K14638	NA	K07374	NA	NA	NA	K01462	K01255	K01816	K07595	NA	K09319	NA	K14693	K04307	K08873	K03155	K04648	NA	K12879	K07497	K14376
NA	K18798	NA	K15027	NA	K07427	NA	NA	NA	K01507	K01265	K01841	K07881	NA	K09402	NA	K14765	K04357	K08873	K03172	K04734	NA	K13145	K08252	K14616
NA	K19636	NA	K16457	NA	K07440	NA	NA	NA	K01511	K01267	K01866	K07881	NA	K09524	NA	K14801	K04362	K08874	K03164	K04892	NA	K13148	K08333	K14827
NA	K22291	NA	K16774	NA	K07520	NA	NA	NA	K01555	K01273	K01934	K07917	NA	K09656	NA	K14819	K04393	K08874	K03173	K04984	NA	K13177	K08333	K14859
NA	K22615	NA	K16804	NA	K07767	NA	NA	NA	K01555	K01277	K01974	K07901	NA	K09848	NA	K14819	K04397	K08874	K03174	K04984	NA	K13710	K08375	K14960
NA	K22989	NA	K17307	NA	K07767	NA	NA	NA	K01581	K01301	K02127	K07917	NA	K10088	NA	K14829	K04422	K08874	K03174	K04988	NA	K13956	K08596	K15127
NA	K23040	NA	K19532	NA	K08031	NA	NA	NA	K01613	K01303	K02128	K07937	NA	K10260	NA	K14843	K04424	K08874	K03175	K04988	NA	K14168	K08660	K15189
NA	K23332	NA	K19532	NA	K08051	NA	NA	NA	K01667	K01303	K02128	K07953	NA	K10260	NA	K14847	K04426	K09228	K03175	K05089	NA	K14376	K08857	K15303
NA	K23499	NA	K19532	NA	K08051	NA	NA	NA	K01672	K01303	K02132	K07953	NA	K10279	NA	K14851	K04427	K09228	K03252	K05126	NA	K14546	K08857	K15377
NA	K23499	NA	K19910	NA	K08187	NA	NA	NA	K01679	K01304	K02134	K07955	NA	K10280	NA	K14961	K04491	K09291	K03260	K05181	NA	K14554	K08868	K15426
NA	K23504	NA	K20803	NA	K08187	NA	NA	NA	K01681	K01338	K02134	K08008	NA	K10283	NA	K15118	K04512	K09291	K03320	K05128	NA	K14556	K08868	K15440
NA	NA	NA	K21922	NA	K08601	NA	NA	NA	K01687	K01345	K02138	K08009	NA	K10329	NA	K15129	K04533	K09657	K03504	K05360	NA	K14771	K08884	K15837
NA	NA	NA	K22817	NA	K08630	NA	NA	NA	K01783	K01358	K02150	K08026	NA	K10401	NA	K15186	K04533	K10352	K03512	K05360	NA	K14818	K08892	K16059
NA	NA	NA	NA	NA	K08653	NA	NA	NA	K01800	K01362	K02150	K08337	NA	K10426	NA	K15208	K04533	K10352	K03595	K05614	NA	K14832	K09189	K17498
NA	NA	NA	NA	NA	K08678	NA	NA	NA	K01809	K01426	K02151	K08497	NA	K10443	NA	K15208	K04533	K10352	K03654	K05691	NA	K14835	K09667	K17889
NA	NA	NA	NA	NA	K08798	NA	NA	NA	K01939	K01442	K02155	K08554	NA	K10455	NA	K15630	K04567	K10359	K03685	K05692	NA	K14861	K09702	K18164
NA	NA	NA	NA	NA	K08798	NA	NA	NA	K01953	K01442	K02159	K08702	NA	K10457	NA	K15691	K04600	K10362	K03685	K05695	NA	K14960	K09848	K18274
NA	NA	NA	NA	NA	K08802	NA	NA	NA	K02145	K01443	K02163	K08770	NA	K10478	NA	K16465	K04600	K10366	K03695	K05734	NA	K15181	K10130	K19176
NA	NA	NA	NA	NA	K08955	NA	NA	NA	K02147	K01477	K02187	K08814	NA	K10582	NA	K16571	K04600	K10366	K03695	K05766	NA	K15190	K10144	K19683
NA	NA	NA	NA	NA	K08955	NA	NA	NA	K02154	K01488	K02258	K08838	NA	K10612	NA	K16575	K04615	K10369	K03899	K05857	NA	K15305	K10380	K19788
NA	NA	NA	NA	NA	K09189	NA	NA	NA	K02168	K01495	K02263	K08874	NA	K10667	NA	K16575	K04615	K10366	K03934	K05858	NA	K15336	K10380	K19993
NA	NA	NA	NA	NA	K09395	NA	NA	NA	K02187	K01514	K02265	K09038	NA	K10756	NA	K16603	K04615	K10380	K04150	K05906	NA	K15447	K10380	K20029
NA	NA	NA	NA	NA	K09452	NA	NA	NA	K02187	K01520	K02267	K09114	NA	K10767	NA	K16750	K04632	K10380	K04263	K06030	NA	K15445	K10380	K20181
NA	NA	NA	NA	NA	K09428	NA	NA	NA	K02257	K01525	K02270	K09292	NA	K10976	NA	K17081	K04659	K10395	K04307	K06063	NA	K15631	K10380	K20310
NA	NA	NA	NA	NA	K09552	NA	NA	NA	K02258	K01527	K02320	K09452	NA	K11430	NA	K17255	K04659	K10382	K04307	K06082	NA	K15708	K10403	K21548
NA	NA	NA	NA	NA	K09583	NA	NA	NA	K02295	K01527	K02437	K09517	NA	K11456	NA	K17418	K04679	K10382	K04307	K06094	NA	K15865	K10408	K21773
NA	NA	NA	NA	NA	K09594	NA	NA	NA	K02321	K01557	K02503	K09586	NA	K11489	NA	K17546	K04681	K10382	K04358	K06114	NA	K16457	K10450	K22370
NA	NA	NA	NA	NA	K09640	NA	NA	NA	K02328	K01599	K02599	K09651	NA	K11583	NA	K17550	K04728	K10388	K04362	K06114	NA	K16532	K10478	K22371
NA	NA	NA	NA	NA	K09640	NA	NA	NA	K02358	K01672	K02726	K09848	NA	K11590	NA	K17560	K04728	K10396	K04362	K06110	NA	K16572	K10642	K22371
NA	NA	NA	NA	NA	K09657	NA	NA	NA	K02427	K01698	K02730	K10153	NA	K11796	NA	K17618	K04851	K10408	K04364	K06176	NA	K16603	K10642	K22614
NA	NA	NA	NA	NA	K09848	NA	NA	NA	K02583	K01749	K02734	K10062	NA	K11848	NA	K17655	K04851	K10408	K04373	K06176	NA	K16608	K10642	K22614
NA	NA	NA	NA	NA	K10149	NA	NA	NA	K02599	K01755	K02864	K10080	NA	K11968	NA	K17682	K04891	K10408	K04373	K06252	NA	K17427	K10642	K22615
NA	NA	NA	NA	NA	K10478	NA	NA	NA	K02867	K01802	K02875	K10089	NA	K12035	NA	K17907	K04958	K10408	K04398	K06252	NA	K17569	K10756	K22615
NA	NA	NA	NA	NA	K10581	NA	NA	NA	K02867	K01823	K02885	K10144	NA	K12035	NA	K18081	K04978	K10408	K04398	K06254	NA	K17659	K10756	K23331
NA	NA	NA	NA	NA	K10590	NA	NA	NA	K02878	K01866	K02892	K10149	NA	K12035	NA	K18134	K04978	K10408	K04418	K06364	NA	K17973	K10846	K23345
NA	NA	NA	NA	NA	K10590	NA	NA	NA	K02879	K01869	K02895	K10153	NA	K12035	NA	K18666	K04984	K10408	K04422	K06530	NA	K18081	K10849	K23404
NA	NA	NA	NA	NA	K10604	NA	NA	NA	K03097	K01870	K02896	K10308	NA	K12176	NA	K18849	K04984	K10408	K04428	K06560	NA	K18643	K10874	NA
NA	NA	NA	NA	NA	K10595	NA	NA	NA	K03124	K01887	K02899	K10380	NA	K12192	NA	K19323	K04984	K10408	K04442	K06641	NA	K18729	K10900	NA
NA	NA	NA	NA	NA	K10645	NA	NA	NA	K03173	K01889	K02899	K10442	NA	K12811	NA	K19360	K04984	K10408	K04448	K06662	NA	K19521	K11259	NA
NA	NA	NA	NA	NA	K10744	NA	NA	NA	K03175	K01899	K02902	K10450	NA	K12817	NA	K19612	K04988	K10408	K04498	K06662	NA	K19583	K11394	NA
NA	NA	NA	NA	NA	K10768	NA	NA	NA	K03175	K01900	K02907	K10454	NA	K12819	NA	K19787	K05096	K10408	K04508	K06669	NA	K19882	K11438	NA
NA	NA	NA	NA	NA	K10873	NA	NA	NA	K03424	K01915	K02926	K10454	NA	K12869	NA	K19910	K05098	K10408	K04558	K06671	NA	K20195	K11501	NA
NA	NA	NA	NA	NA	K10887	NA	NA	NA	K03469	K01937	K02927	K10478	NA	K12870	NA	K20102	K05125	K10408	K04575	K06679	NA	K20299	K11699	NA
NA	NA	NA	NA	NA	K10951	NA	NA	NA	K03522	K01948	K02935	K10482	NA	K12878	NA	K20721	K05125	K10408	K04575	K06711	NA	K20630	K11789	NA
NA	NA	NA	NA	NA	K11305	NA	NA	NA	K03575	K01951	K02959	K10573	NA	K12878	NA	K22385	K05236	K10408	K04592	K06816	NA	K22614	K11789	NA
NA	NA	NA	NA	NA	K11321	NA	NA	NA	K03575	K01969	K02959	K10585	NA	K13104	NA	K22827	K05236	K10408	K04592	K06883	NA	K22614	K11789	NA
NA	NA	NA	NA	NA	K11321	NA	NA	NA	K03871	K02105	K02961	K10645	NA	K13121	NA	K23001	K05236	K10408	K04592	K06883	NA	K22863	K11837	NA
NA	NA	NA	NA	NA	K11374	NA	NA	NA	K03935	K02132	K02970	K10645	NA	K13163	NA	K23308	K05312	K10408	K04592	K06963	NA	K22900	K11985	NA
NA	NA	NA	NA	NA	K11374	NA	NA	NA	K03935	K02133	K02983	K10859	NA	K13173	NA	K23456	K05628	K10408	K04600	K07178	NA	K22900	K11996	NA
NA	NA	NA	NA	NA	K11374	NA	NA	NA	K04078	K02136	K02983	K11313	NA	K13219	NA	K23847	K05631	K10408	K04605	K07179	NA	K23008	K12026	NA
NA	NA	NA	NA	NA	K11465	NA	NA	NA	K04150	K02146	K03011	K11650	NA	K13302	NA	NA	K05633	K10408	K04679	K07203	NA	K23112	K12035	NA
NA	NA	NA	NA	NA	K11463	NA	NA	NA	K04221	K02151	K03012	K12021	NA	K13717	NA	NA	K05641	K10408	K04683	K07364	NA	K23845	K12323	NA
NA	NA	NA	NA	NA	K11583	NA	NA	NA	K04249	K02180	K03014	K12197	NA	K13864	NA	NA	K05642	K10408	K04718	K07555	NA	K23845	K12373	NA
NA	NA	NA	NA	NA	K11649	NA	NA	NA	K04256	K02183	K03016	K12229	NA	K14021	NA	NA	K05642	K10408	K04728	K07561	NA	NA	K12600	NA
NA	NA	NA	NA	NA	K11649	NA	NA	NA	K04282	K02183	K03017	K12231	NA	K14319	NA	NA	K05643	K10408	K04887	K07562	NA	NA	K12822	NA
NA	NA	NA	NA	NA	K11653	NA	NA	NA	K04362	K02318	K03019	K12323	NA	K14546	NA	NA	K05665	K10408	K04892	K07752	NA	NA	K13094	NA
NA	NA	NA	NA	NA	K11673	NA	NA	NA	K04372	K02326	K03029	K12348	NA	K14801	NA	NA	K05665	K10408	K04967	K07889	NA	NA	K13094	NA
NA	NA	NA	NA	NA	K11729	NA	NA	NA	K04397	K02333	K03066	K12348	NA	K14803	NA	NA	K05665	K10408	K04975	K07962	NA	NA	K13094	NA
NA	NA	NA	NA	NA	K11730	NA	NA	NA	K04403	K02357	K03094	K12366	NA	K14810	NA	NA	K05695	K10408	K04977	K08069	NA	NA	K13117	NA
NA	NA	NA	NA	NA	K11789	NA	NA	NA	K04403	K02365	K03106	K12402	NA	K14826	NA	NA	K05695	K10408	K04978	K08076	NA	NA	K13159	NA
NA	NA	NA	NA	NA	K11789	NA	NA	NA	K04437	K02375	K03115	K12402	NA	K14960	NA	NA	K05700	K10408	K04978	K08110	NA	NA	K13338	NA
NA	NA	NA	NA	NA	K11795	NA	NA	NA	K04459	K02377	K03120	K12404	NA	K15045	NA	NA	K05700	K10408	K04984	K08283	NA	NA	K13338	NA
NA	NA	NA	NA	NA	K11804	NA	NA	NA	K04515	K02493	K03135	K12654	NA	K15189	NA	NA	K05725	K10408	K04984	K08292	NA	NA	K13412	NA
NA	NA	NA	NA	NA	K11849	NA	NA	NA	K04521	K02564	K03143	K12654	NA	K15212	NA	NA	K05725	K10408	K04984	K08334	NA	NA	K13444	NA
NA	NA	NA	NA	NA	K11849	NA	NA	NA	K04533	K02599	K03143	K12654	NA	K15255	NA	NA	K05727	K10408	K04985	K08465	NA	NA	K13526	NA
NA	NA	NA	NA	NA	K12035	NA	NA	NA	K04605	K02605	K03134	K12654	NA	K15216	NA	NA	K05727	K10408	K04988	K08495	NA	NA	K13736	NA
NA	NA	NA	NA	NA	K12171	NA	NA	NA	K04682	K02608	K03173	K12654	NA	K15290	NA	NA	K05730	K10408	K04988	K08592	NA	NA	K14293	NA
NA	NA	NA	NA	NA	K12183	NA	NA	NA	K04705	K02725	K03173	K12757	NA	K15322	NA	NA	K05750	K10408	K05093	K08592	NA	NA	K14376	NA
NA	NA	NA	NA	NA	K12185	NA	NA	NA	K04715	K02729	K03188	K12828	NA	K15377	NA	NA	K05750	K10408	K05093	K08601	NA	NA	K14616	NA
NA	NA	NA	NA	NA	K12185	NA	NA	NA	K04727	K02729	K03193	K12828	NA	K15409	NA	NA	K06086	K10408	K05094	K08601	NA	NA	K14689	NA
NA	NA	NA	NA	NA	K12200	NA	NA	NA	K04915	K02731	K03232	K12859	NA	K15779	NA	NA	K06070	K10408	K05094	K08735	NA	NA	K14696	NA
NA	NA	NA	NA	NA	K12306	NA	NA	NA	K05048	K02734	K03248	K12893	NA	K16474	NA	NA	K06086	K10413	K05105	K08805	NA	NA	K14963	NA
NA	NA	NA	NA	NA	K12350	NA	NA	NA	K05048	K02734	K03260	K12900	NA	K16540	NA	NA	K06100	K10413	K05110	K08823	NA	NA	K14965	NA
NA	NA	NA	NA	NA	K12373	NA	NA	NA	K05125	K02735	K03264	K13108	NA	K16583	NA	NA	K06103	K10413	K05111	K08824	NA	NA	K15196	NA
NA	NA	NA	NA	NA	K12385	NA	NA	NA	K05463	K02736	K03349	K13119	NA	K16600	NA	NA	K06103	K10413	K05111	K08836	NA	NA	K15502	NA
NA	NA	NA	NA	NA	K12404	NA	NA	NA	K05643	K02738	K03353	K13154	NA	K16753	NA	NA	K06240	K10413	K05111	K08827	NA	NA	K15503	NA
NA	NA	NA	NA	NA	K12470	NA	NA	NA	K05688	K02739	K03358	K13202	NA	K17307	NA	NA	K06265	K10414	K05111	K08838	NA	NA	K15521	NA
NA	NA	NA	NA	NA	K12479	NA	NA	NA	K05688	K02830	K03372	K13247	NA	K17307	NA	NA	K06530	K10422	K05126	K08873	NA	NA	K15720	NA
NA	NA	NA	NA	NA	K12488	NA	NA	NA	K05688	K02863	K03424	K13539	NA	K17341	NA	NA	K06530	K10586	K05190	K08864	NA	NA	K16449	NA
