CL.1d	CL.1d.exp	CL.3d	CL.3d.exp	AH.1d	AH.1d.exp	AH.3d	AH.3d.exp	CH.1d	CH.1d.exp	CH.3d	CH.3d.exp	Met	M12	M13	M14	M15	M21	M24	M25
K12165	-0.545509318	NA	NA	K05991	-0.708720062	K12182	0.390635324	NA	NA	NA	NA	K22657	NA	K15162	NA	NA	NA	NA	NA
K12169	0.416882568	NA	NA	K06030	0.524606121	K12184	0.290552991	NA	NA	NA	NA	K17495	NA	K15162	NA	NA	NA	NA	NA
K12181	-0.45585743	NA	NA	K06052	0.415775786	K12188	-0.183777081	NA	NA	NA	NA	K08546	NA	K15162	NA	NA	NA	NA	NA
K12229	-0.309725482	NA	NA	K06054	-1.168339806	K12190	0.60988958	NA	NA	NA	NA	K19986	NA	K15162	NA	NA	NA	NA	NA
K12260	-0.70856273	NA	NA	K06067	0.421387846	K12231	0.840262514	NA	NA	NA	NA	K02183	NA	K06664	NA	NA	NA	NA	NA
K12272	-0.491668376	NA	NA	K06068	0.326951355	K12311	0.256229007	NA	NA	NA	NA	K04967	NA	K04491	NA	NA	NA	NA	NA
K12272	-0.437641914	NA	NA	K06070	0.893734454	K12323	0.502909063	NA	NA	NA	NA	K10751	NA	K17602	NA	NA	NA	NA	NA
K12310	-0.341129447	NA	NA	K06082	-0.656131973	K12323	0.539403767	NA	NA	NA	NA	K23088	NA	K17602	NA	NA	NA	NA	NA
K12351	-0.240861124	NA	NA	K06082	0.707766562	K12345	-0.595959721	NA	NA	NA	NA	K12389	NA	K22614	NA	NA	NA	NA	NA
K12386	-0.615086847	NA	NA	K06082	0.900970542	K12351	-0.446390474	NA	NA	NA	NA	K05701	NA	K16330	NA	NA	NA	NA	NA
K12388	0.408149352	NA	NA	K06083	-0.566037944	K12353	-0.392343717	NA	NA	NA	NA	K04984	NA	K11978	NA	NA	NA	NA	NA
K12394	-0.468221688	NA	NA	K06084	-0.838595714	K12366	0.375373309	NA	NA	NA	NA	K08884	NA	K11978	NA	NA	NA	NA	NA
K12400	0.826675649	NA	NA	K06094	0.783747155	K12373	-0.577120133	NA	NA	NA	NA	K00921	NA	K10626	NA	NA	NA	NA	NA
K12404	-0.318719156	NA	NA	K06094	0.867192453	K12472	0.231926925	NA	NA	NA	NA	K18409	NA	K14311	NA	NA	NA	NA	NA
K12456	-0.613339197	NA	NA	K06094	0.916824515	K12481	-0.224913248	NA	NA	NA	NA	K00469	NA	K14311	NA	NA	NA	NA	NA
K12584	-0.336917344	NA	NA	K06095	-1.116443387	K12493	0.261148799	NA	NA	NA	NA	K17341	NA	K01870	NA	NA	NA	NA	NA
K12600	0.52552662	NA	NA	K06095	-0.927962676	K12505	-0.32234611	NA	NA	NA	NA	K01965	NA	K04567	NA	NA	NA	NA	NA
K12600	0.774859025	NA	NA	K06125	-0.765296824	K12559	0.837581936	NA	NA	NA	NA	K01332	NA	K09291	NA	NA	NA	NA	NA
K12621	-0.486481349	NA	NA	K06130	-0.389371451	K12559	0.845486939	NA	NA	NA	NA	K11150	NA	K17906	NA	NA	NA	NA	NA
K12623	-0.543416621	NA	NA	K06173	-0.498201827	K12567	0.902272897	NA	NA	NA	NA	K06674	NA	K17576	NA	NA	NA	NA	NA
K12624	-0.620763376	NA	NA	K06210	-0.411701588	K12586	-0.471256746	NA	NA	NA	NA	K06674	NA	K12604	NA	NA	NA	NA	NA
K12625	-0.466680355	NA	NA	K06226	-0.293815641	K12604	0.625492622	NA	NA	NA	NA	K09673	NA	K12604	NA	NA	NA	NA	NA
K12626	-0.499206071	NA	NA	K06234	0.171250158	K12604	0.687440317	NA	NA	NA	NA	K02685	NA	K12604	NA	NA	NA	NA	NA
K12666	0.394069021	NA	NA	K06236	-1.738348298	K12619	-0.507998632	NA	NA	NA	NA	K10369	NA	K17751	NA	NA	NA	NA	NA
K12733	-0.540432282	NA	NA	K06236	-1.677773542	K12620	-0.368247933	NA	NA	NA	NA	K11858	NA	K16449	NA	NA	NA	NA	NA
K12751	-0.590622352	NA	NA	K06236	-1.611377226	K12625	-0.766352983	NA	NA	NA	NA	K10316	NA	K01011	NA	NA	NA	NA	NA
K12757	-0.632269548	NA	NA	K06236	-1.315283733	K12626	-0.428287004	NA	NA	NA	NA	K04941	NA	K04615	NA	NA	NA	NA	NA
K12757	-0.292448827	NA	NA	K06236	-0.929922051	K12654	0.692646005	NA	NA	NA	NA	K04546	NA	K07817	NA	NA	NA	NA	NA
K12820	0.329834137	NA	NA	K06236	-0.699253105	K12757	-0.566807064	NA	NA	NA	NA	K18710	NA	K19501	NA	NA	NA	NA	NA
K12820	0.354762637	NA	NA	K06236	-0.523033205	K12757	0.645392558	NA	NA	NA	NA	K05762	NA	K05098	NA	NA	NA	NA	NA
K12826	-0.324450388	NA	NA	K06237	-1.512638278	K12800	-0.685021109	NA	NA	NA	NA	K00659	NA	K16353	NA	NA	NA	NA	NA
K12828	0.296266804	NA	NA	K06237	-1.157406571	K12821	0.716254709	NA	NA	NA	NA	K21396	NA	K16353	NA	NA	NA	NA	NA
K12828	0.451463677	NA	NA	K06238	-1.094149842	K12821	0.728056483	NA	NA	NA	NA	K02223	NA	K20315	NA	NA	NA	NA	NA
K12830	0.291187566	NA	NA	K06252	0.836862482	K12824	0.408265794	NA	NA	NA	NA	K11791	NA	K12391	NA	NA	NA	NA	NA
K12832	-0.437577805	NA	NA	K06271	0.798489024	K12824	0.563126713	NA	NA	NA	NA	K19907	NA	K05236	NA	NA	NA	NA	NA
K12833	-0.583548975	NA	NA	K06279	-0.414059007	K12828	0.254533725	NA	NA	NA	NA	K01283	NA	K05236	NA	NA	NA	NA	NA
K12833	-0.536527505	NA	NA	K06316	-0.549552232	K12828	0.308032822	NA	NA	NA	NA	K04594	NA	K05236	NA	NA	NA	NA	NA
K12836	-0.328326015	NA	NA	K06528	-0.274459983	K12828	0.410452026	NA	NA	NA	NA	K04648	NA	K14007	NA	NA	NA	NA	NA
K12845	-0.620017276	NA	NA	K06530	0.171003543	K12832	-0.474199013	NA	NA	NA	NA	K07508	NA	K14007	NA	NA	NA	NA	NA
K12855	0.462190907	NA	NA	K06530	0.56637543	K12836	-0.543252898	NA	NA	NA	NA	K12858	NA	K10442	NA	NA	NA	NA	NA
K12867	0.447186549	NA	NA	K06532	-0.350932879	K12845	-1.039790195	NA	NA	NA	NA	K06528	NA	K20279	NA	NA	NA	NA	NA
K12867	0.548260585	NA	NA	K06560	-1.312083779	K12855	0.314331209	NA	NA	NA	NA	K04416	NA	K20279	NA	NA	NA	NA	NA
K12876	-0.340641339	NA	NA	K06560	-1.067698622	K12855	0.538708672	NA	NA	NA	NA	K10402	NA	K20160	NA	NA	NA	NA	NA
K12886	-0.276906259	NA	NA	K06560	0.874875787	K12856	0.634738801	NA	NA	NA	NA	K02374	NA	K06563	NA	NA	NA	NA	NA
K12941	-0.453406421	NA	NA	K06563	-0.822259634	K12856	0.677200236	NA	NA	NA	NA	K06115	NA	K10408	NA	NA	NA	NA	NA
K12947	-0.508934703	NA	NA	K06569	-0.709728821	K12859	0.492331194	NA	NA	NA	NA	K20478	NA	K10408	NA	NA	NA	NA	NA
K13026	0.563147306	NA	NA	K06569	0.323620423	K12876	-0.337438304	NA	NA	NA	NA	K01309	NA	K10408	NA	NA	NA	NA	NA
K13106	0.370847918	NA	NA	K06619	0.441591016	K12881	-0.34080654	NA	NA	NA	NA	K01363	NA	K10408	NA	NA	NA	NA	NA
K13113	-0.442890454	NA	NA	K06619	0.693966533	K12886	-0.314864318	NA	NA	NA	NA	K20174	NA	K10408	NA	NA	NA	NA	NA
K13118	0.52908099	NA	NA	K06630	-0.224874511	K12890	-0.453895411	NA	NA	NA	NA	K02577	NA	K10408	NA	NA	NA	NA	NA
K13123	0.589593748	NA	NA	K06633	-0.422777528	K12893	-1.209180119	NA	NA	NA	NA	K06240	NA	K15424	NA	NA	NA	NA	NA
K13128	0.591773387	NA	NA	K06636	-0.569148552	K12941	-0.391073465	NA	NA	NA	NA	K23342	NA	K21852	NA	NA	NA	NA	NA
K13129	-0.280893109	NA	NA	K06636	0.901793978	K12947	-0.411945205	NA	NA	NA	NA	K06491	NA	K17914	NA	NA	NA	NA	NA
K13133	0.739029492	NA	NA	K06645	-0.517359155	K13024	0.58610708	NA	NA	NA	NA	K04375	NA	K10395	NA	NA	NA	NA	NA
K13141	0.508306691	NA	NA	K06645	-0.454902228	K13076	-0.724109873	NA	NA	NA	NA	K16498	NA	K06753	NA	NA	NA	NA	NA
K13147	-0.311751302	NA	NA	K06662	0.709421111	K13089	-0.381006797	NA	NA	NA	NA	K10777	NA	K04958	NA	NA	NA	NA	NA
K13154	-0.211673338	NA	NA	K06669	0.863750111	K13089	-0.296832406	NA	NA	NA	NA	K01921	NA	K10454	NA	NA	NA	NA	NA
K13172	-0.360945207	NA	NA	K06670	-0.358796793	K13098	-0.554683651	NA	NA	NA	NA	K20099	NA	K10457	NA	NA	NA	NA	NA
K13177	0.393075145	NA	NA	K06671	0.620736466	K13106	0.423658887	NA	NA	NA	NA	K06491	NA	K08269	NA	NA	NA	NA	NA
K13190	0.359076269	NA	NA	K06675	-0.648532885	K13110	0.512988053	NA	NA	NA	NA	K00558	NA	K07817	NA	NA	NA	NA	NA
K13251	-0.598230684	NA	NA	K06676	-0.853249297	K13113	-0.417878972	NA	NA	NA	NA	K09396	NA	K21852	NA	NA	NA	NA	NA
K13291	0.69605962	NA	NA	K06676	-0.844586135	K13118	0.447046833	NA	NA	NA	NA	K06624	NA	K21852	NA	NA	NA	NA	NA
K13298	0.736769856	NA	NA	K06679	0.61580517	K13119	0.254668917	NA	NA	NA	NA	K09227	NA	K04891	NA	NA	NA	NA	NA
K13347	-0.447812374	NA	NA	K06685	-0.358772062	K13140	-0.323693597	NA	NA	NA	NA	K10683	NA	K14297	NA	NA	NA	NA	NA
K13354	-0.353634184	NA	NA	K06688	-0.536748869	K13146	-0.384187449	NA	NA	NA	NA	K00963	NA	K15047	NA	NA	NA	NA	NA
K13355	-0.405763672	NA	NA	K06689	-0.39535735	K13146	-0.30004114	NA	NA	NA	NA	K05701	NA	K15047	NA	NA	NA	NA	NA
K13356	0.313170257	NA	NA	K06693	-0.803511509	K13147	-0.441460167	NA	NA	NA	NA	K16751	NA	K20163	NA	NA	NA	NA	NA
K13431	0.296980927	NA	NA	K06693	-0.639964277	K13172	0.468308347	NA	NA	NA	NA	K06677	NA	K08269	NA	NA	NA	NA	NA
K13443	-0.865994844	NA	NA	K06700	-0.918604966	K13172	0.579179039	NA	NA	NA	NA	K06711	NA	K06767	NA	NA	NA	NA	NA
K13513	-0.243636934	NA	NA	K06704	-0.428624412	K13175	-0.37120649	NA	NA	NA	NA	K08834	NA	K16353	NA	NA	NA	NA	NA
K13516	-0.40231223	NA	NA	K06711	0.406962274	K13177	0.778192514	NA	NA	NA	NA	K14792	NA	K10380	NA	NA	NA	NA	NA
K13526	0.598745595	NA	NA	K06711	0.541165	K13192	0.61777762	NA	NA	NA	NA	K19907	NA	K16449	NA	NA	NA	NA	NA
K13528	-0.513361976	NA	NA	K06711	0.585482821	K13202	0.528452293	NA	NA	NA	NA	K14216	NA	K02157	NA	NA	NA	NA	NA
K13649	-0.265382912	NA	NA	K06711	0.768486583	K13221	-0.284511583	NA	NA	NA	NA	K03990	NA	K11665	NA	NA	NA	NA	NA
K13697	-0.456641663	NA	NA	K06711	0.899208718	K13240	0.73013751	NA	NA	NA	NA	K05110	NA	K11665	NA	NA	NA	NA	NA
K13697	-0.410957791	NA	NA	K06756	-0.922880097	K13240	0.956251244	NA	NA	NA	NA	K20178	NA	K11665	NA	NA	NA	NA	NA
K13703	-0.321734688	NA	NA	K06768	-1.146464541	K13249	-0.321043582	NA	NA	NA	NA	K04615	NA	K04659	NA	NA	NA	NA	NA
K13706	-0.452568158	NA	NA	K06774	0.668206534	K13251	-0.669795802	NA	NA	NA	NA	K06091	NA	K04659	NA	NA	NA	NA	NA
K13708	0.813914894	NA	NA	K06775	-0.523131927	K13278	-0.279706803	NA	NA	NA	NA	K00103	NA	K20191	NA	NA	NA	NA	NA
K13720	-0.413497545	NA	NA	K06775	-0.502539895	K13298	0.593925963	NA	NA	NA	NA	K01539	NA	K01077	NA	NA	NA	NA	NA
K13753	-0.347042872	NA	NA	K06775	-0.440945972	K13337	-0.224685958	NA	NA	NA	NA	K04658	NA	K06530	NA	NA	NA	NA	NA
K13807	-0.758675318	NA	NA	K06794	-0.650240488	K13341	-0.426566443	NA	NA	NA	NA	K11592	NA	K20493	NA	NA	NA	NA	NA
K13907	-1.131151738	NA	NA	K06794	0.477156236	K13344	-0.249737026	NA	NA	NA	NA	K04501	NA	K20493	NA	NA	NA	NA	NA
K13907	-0.590019564	NA	NA	K06816	0.500410917	K13347	-0.306213987	NA	NA	NA	NA	K01313	NA	K18443	NA	NA	NA	NA	NA
K13912	0.617087396	NA	NA	K06816	1.222837935	K13354	-0.512555316	NA	NA	NA	NA	K06240	NA	K18443	NA	NA	NA	NA	NA
K14007	0.397465002	NA	NA	K06841	-0.809862386	K13421	-0.38688413	NA	NA	NA	NA	K03283	NA	K08765	NA	NA	NA	NA	NA
K14012	-0.361497436	NA	NA	K06867	-0.330079856	K13443	-1.353785498	NA	NA	NA	NA	K10809	NA	K05641	NA	NA	NA	NA	NA
K14165	-0.59610351	NA	NA	K06875	-0.411021486	K13515	-0.487966389	NA	NA	NA	NA	K17693	NA	K05642	NA	NA	NA	NA	NA
K14165	-0.496730492	NA	NA	K06883	0.883496492	K13516	-0.426621134	NA	NA	NA	NA	K12874	NA	K04362	NA	NA	NA	NA	NA
K14210	-0.343708819	NA	NA	K06890	-0.609045747	K13539	0.542442193	NA	NA	NA	NA	K23868	NA	K20305	NA	NA	NA	NA	NA
K14290	0.490321361	NA	NA	K06911	-0.540487707	K13649	-0.330632228	NA	NA	NA	NA	K01077	NA	K20476	NA	NA	NA	NA	NA
K14293	0.505878732	NA	NA	K06924	-0.617336975	K13703	-0.580819081	NA	NA	NA	NA	K09486	NA	K05016	NA	NA	NA	NA	NA
K14296	0.244346908	NA	NA	K06924	-0.597648133	K13709	0.314783986	NA	NA	NA	NA	K05127	NA	K10456	NA	NA	NA	NA	NA
K14297	0.904182181	NA	NA	K06942	0.516264838	K13709	0.872818544	NA	NA	NA	NA	K10597	NA	K10464	NA	NA	NA	NA	NA
K14299	-0.25221278	NA	NA	K06963	0.953937141	K13754	-0.473340295	NA	NA	NA	NA	K05762	NA	K08267	NA	NA	NA	NA	NA
K14300	0.699798988	NA	NA	K06965	0.668437875	K13856	1.177463175	NA	NA	NA	NA	K11514	NA	K08267	NA	NA	NA	NA	NA
K14300	0.832687147	NA	NA	K06975	-0.565378376	K13866	-0.706572848	NA	NA	NA	NA	K04559	NA	K15172	NA	NA	NA	NA	NA
K14301	0.372172707	NA	NA	K06989	-1.115703934	K13866	-0.633759312	NA	NA	NA	NA	K06677	NA	K22285	NA	NA	NA	NA	NA
K14303	0.483868403	NA	NA	K06997	-0.828166101	K13907	-0.432724561	NA	NA	NA	NA	K12827	NA	K22285	NA	NA	NA	NA	NA
K14309	0.551541024	NA	NA	K06997	-0.684517178	K13912	-0.624082206	NA	NA	NA	NA	K12392	NA	K20994	NA	NA	NA	NA	NA
K14311	0.520830742	NA	NA	K07002	-0.33065307	K13912	0.343442266	NA	NA	NA	NA	K22614	NA	K02599	NA	NA	NA	NA	NA
K14314	0.67916502	NA	NA	K07023	-0.517945782	K13912	0.654583145	NA	NA	NA	NA	K01689	NA	K12388	NA	NA	NA	NA	NA
K14324	-0.31360056	NA	NA	K07048	-0.30015703	K13960	-0.80728502	NA	NA	NA	NA	K02684	NA	K05657	NA	NA	NA	NA	NA
K14327	0.910996007	NA	NA	K07071	-0.291480972	K14156	-0.229262751	NA	NA	NA	NA	K13118	NA	K11322	NA	NA	NA	NA	NA
K14379	-0.380731188	NA	NA	K07119	-0.501531652	K14165	-0.789282516	NA	NA	NA	NA	K02540	NA	K18405	NA	NA	NA	NA	NA
K14386	-0.336899154	NA	NA	K07151	0.232779822	K14206	-0.4696498	NA	NA	NA	NA	K00010	NA	K08775	NA	NA	NA	NA	NA
K14386	-0.319014985	NA	NA	K07178	0.715588645	K14209	-0.345900606	NA	NA	NA	NA	K12757	NA	K16781	NA	NA	NA	NA	NA
K14394	-0.320603012	NA	NA	K07179	0.367449349	K14209	-0.323319319	NA	NA	NA	NA	K18667	NA	K04978	NA	NA	NA	NA	NA
K14443	-0.581243911	NA	NA	K07179	0.540709396	K14210	-0.511907226	NA	NA	NA	NA	K02332	NA	K04984	NA	NA	NA	NA	NA
K14521	0.764381958	NA	NA	K07192	-0.482321932	K14216	0.912167848	NA	NA	NA	NA	K19403	NA	K14972	NA	NA	NA	NA	NA
K14538	-0.427302364	NA	NA	K07197	-0.6391635	K14293	0.51756609	NA	NA	NA	NA	K19511	NA	K01648	NA	NA	NA	NA	NA
K14545	-0.324116324	NA	NA	K07197	-0.584583984	K14299	-0.251629302	NA	NA	NA	NA	K05396	NA	K16060	NA	NA	NA	NA	NA
K14554	0.470834012	NA	NA	K07203	0.427420221	K14302	-0.272828898	NA	NA	NA	NA	K20526	NA	K09848	NA	NA	NA	NA	NA
K14565	0.202562912	NA	NA	K07206	0.672578927	K14306	-0.32635362	NA	NA	NA	NA	K07424	NA	K03175	NA	NA	NA	NA	NA
K14568	-0.339473714	NA	NA	K07207	-0.569481135	K14309	0.231979287	NA	NA	NA	NA	K15712	NA	K03175	NA	NA	NA	NA	NA
K14590	0.464567147	NA	NA	K07209	0.897150309	K14309	0.604545164	NA	NA	NA	NA	K07424	NA	K03175	NA	NA	NA	NA	NA
K14610	-0.372173927	NA	NA	K07213	-0.357882492	K14320	-0.436479036	NA	NA	NA	NA	K10641	NA	K19352	NA	NA	NA	NA	NA
K14616	-0.33650932	NA	NA	K07277	-0.189232446	K14328	0.630745947	NA	NA	NA	NA	K04350	NA	K18040	NA	NA	NA	NA	NA
K14616	0.82297976	NA	NA	K07304	-0.421615485	K14354	-0.827228171	NA	NA	NA	NA	K00814	NA	K10408	NA	NA	NA	NA	NA
K14618	-0.432668207	NA	NA	K07374	-0.832293853	K14354	-0.780749555	NA	NA	NA	NA	K01349	NA	K10408	NA	NA	NA	NA	NA
K14708	-0.346273228	NA	NA	K07374	-0.800935797	K14379	-0.224467316	NA	NA	NA	NA	K00653	NA	K10408	NA	NA	NA	NA	NA
K14713	0.349740431	NA	NA	K07375	-0.558953584	K14386	-0.610796737	NA	NA	NA	NA	K08630	NA	K10408	NA	NA	NA	NA	NA
K14719	-0.281242696	NA	NA	K07375	-0.413129708	K14396	-0.347313951	NA	NA	NA	NA	K04079	NA	K04605	NA	NA	NA	NA	NA
K14774	0.811615621	NA	NA	K07375	-0.406784539	K14398	-0.733287399	NA	NA	NA	NA	K06678	NA	K03283	NA	NA	NA	NA	NA
K14794	0.879219627	NA	NA	K07376	-0.244296897	K14399	-0.38399364	NA	NA	NA	NA	K08465	NA	K10592	NA	NA	NA	NA	NA
K14802	0.653263721	NA	NA	K07390	-0.49769668	K14400	0.458681565	NA	NA	NA	NA	K20773	NA	K01528	NA	NA	NA	NA	NA
K14806	0.761706478	NA	NA	K07390	-0.33056018	K14408	0.271571653	NA	NA	NA	NA	K20478	NA	K16307	NA	NA	NA	NA	NA
K14815	-0.554890443	NA	NA	K07440	-0.371209494	K14416	0.316347358	NA	NA	NA	NA	K10297	NA	K04512	NA	NA	NA	NA	NA
K14821	-0.420544252	NA	NA	K07440	-0.325977793	K14437	0.456777597	NA	NA	NA	NA	K12382	NA	K16768	NA	NA	NA	NA	NA
K14842	-0.283757977	NA	NA	K07512	-0.400132154	K14443	0.354815364	NA	NA	NA	NA	K20994	NA	K16768	NA	NA	NA	NA	NA
K14842	-0.210069954	NA	NA	K07555	0.311597455	K14457	-0.3345314	NA	NA	NA	NA	K01415	NA	K13983	NA	NA	NA	NA	NA
K14847	-0.257663164	NA	NA	K07561	0.269812602	K14480	-0.213314791	NA	NA	NA	NA	K10402	NA	K18740	NA	NA	NA	NA	NA
K14860	-0.203575192	NA	NA	K07561	0.424774884	K14525	-0.226039119	NA	NA	NA	NA	K17307	NA	K05642	NA	NA	NA	NA	NA
K14862	-0.652871094	NA	NA	K07562	0.442158384	K14530	-0.292057286	NA	NA	NA	NA	K12396	NA	K10380	NA	NA	NA	NA	NA
K14938	-0.520204271	NA	NA	K07573	-0.382657851	K14544	-0.308499926	NA	NA	NA	NA	K06777	NA	K15192	NA	NA	NA	NA	NA
K14950	0.968928323	NA	NA	K07575	-0.894146529	K14553	-0.43701193	NA	NA	NA	NA	K01539	NA	K15192	NA	NA	NA	NA	NA
K14965	-0.516254089	NA	NA	K07575	-0.866575825	K14574	-0.203457362	NA	NA	NA	NA	K02021	NA	K15192	NA	NA	NA	NA	NA
K15013	0.507179649	NA	NA	K07595	1.308562845	K14575	-0.385925209	NA	NA	NA	NA	K19721	NA	K14297	NA	NA	NA	NA	NA
K15025	-0.317168636	NA	NA	K07634	0.697980927	K14610	-0.439795551	NA	NA	NA	NA	K06675	NA	K23705	NA	NA	NA	NA	NA
K15040	-0.301364517	NA	NA	K07752	0.405203194	K14634	-0.459156272	NA	NA	NA	NA	K22615	NA	K18625	NA	NA	NA	NA	NA
K15047	0.508008603	NA	NA	K07756	0.395376489	K14648	-1.013903793	NA	NA	NA	NA	K07763	NA	K14310	NA	NA	NA	NA	NA
K15047	0.566347719	NA	NA	K07765	-0.640404586	K14684	-0.308871881	NA	NA	NA	NA	K13706	NA	K14311	NA	NA	NA	NA	NA
K15104	-0.402619521	NA	NA	K07767	-0.440355875	K14686	-0.29955543	NA	NA	NA	NA	K04610	NA	K11728	NA	NA	NA	NA	NA
K15108	-0.406836552	NA	NA	K07819	0.420298359	K14715	-0.37172937	NA	NA	NA	NA	K01251	NA	K11647	NA	NA	NA	NA	NA
K15139	-0.389051383	NA	NA	K07827	0.277820562	K14716	-0.325351714	NA	NA	NA	NA	K06675	NA	K11647	NA	NA	NA	NA	NA
K15141	-0.531077752	NA	NA	K07847	-0.281242883	K14720	-0.265711061	NA	NA	NA	NA	K19511	NA	K10414	NA	NA	NA	NA	NA
K15141	-0.416906702	NA	NA	K07870	0.555691837	K14782	0.784288915	NA	NA	NA	NA	K21283	NA	K06057	NA	NA	NA	NA	NA
K15142	-0.334842293	NA	NA	K07876	-0.275568398	K14797	-0.274155824	NA	NA	NA	NA	K22615	NA	K16537	NA	NA	NA	NA	NA
K15153	-0.432455701	NA	NA	K07881	0.318132958	K14809	-0.322386058	NA	NA	NA	NA	K17916	NA	K04600	NA	NA	NA	NA	NA
K15166	0.824273883	NA	NA	K07881	0.38124578	K14815	-0.419899872	NA	NA	NA	NA	K06835	NA	K16578	NA	NA	NA	NA	NA
K15176	-0.41994556	NA	NA	K07901	-0.391208288	K14819	-0.52757398	NA	NA	NA	NA	K04134	NA	K14296	NA	NA	NA	NA	NA
K15188	0.739929589	NA	NA	K07901	0.48089088	K14819	-0.477472747	NA	NA	NA	NA	K13159	NA	K23958	NA	NA	NA	NA	NA
K15190	0.318619416	NA	NA	K07911	-0.312710739	K14821	-0.445187192	NA	NA	NA	NA	K10749	NA	K00264	NA	NA	NA	NA	NA
K15216	0.66474392	NA	NA	K07912	-0.320645319	K14827	0.330513582	NA	NA	NA	NA	K20099	NA	K19527	NA	NA	NA	NA	NA
K15235	-0.364443549	NA	NA	K07918	-1.193869201	K14829	-0.518465096	NA	NA	NA	NA	K05312	NA	K19527	NA	NA	NA	NA	NA
K15259	0.546441907	NA	NA	K07920	0.390525709	K14842	-0.462698252	NA	NA	NA	NA	K06237	NA	K19527	NA	NA	NA	NA	NA
K15283	-0.358732654	NA	NA	K07922	-0.301384609	K14842	-0.431786667	NA	NA	NA	NA	K08797	NA	K19527	NA	NA	NA	NA	NA
K15288	-0.525472125	NA	NA	K07939	0.321347504	K14855	-0.726529359	NA	NA	NA	NA	K11138	NA	K19527	NA	NA	NA	NA	NA
K15289	-0.177134732	NA	NA	K07955	0.376693511	K14855	-0.616564412	NA	NA	NA	NA	K23782	NA	K06841	NA	NA	NA	NA	NA
K15309	0.37083699	NA	NA	K07955	0.533124403	K14862	-0.683414609	NA	NA	NA	NA	K10343	NA	K00289	NA	NA	NA	NA	NA
K15332	-0.260800864	NA	NA	K07962	0.5770193	K14962	-0.277144549	NA	NA	NA	NA	K10291	NA	K13912	NA	NA	NA	NA	NA
K15332	0.681623671	NA	NA	K07963	0.785293019	K14972	0.688247001	NA	NA	NA	NA	K05768	NA	K23298	NA	NA	NA	NA	NA
K15370	0.776733684	NA	NA	K07964	-0.764359397	K15013	-0.473896341	NA	NA	NA	NA	K00665	NA	K23298	NA	NA	NA	NA	NA
K15424	0.273138199	NA	NA	K07984	0.693961814	K15015	-0.618235815	NA	NA	NA	NA	K23611	NA	K10605	NA	NA	NA	NA	NA
K15426	0.299015222	NA	NA	K07989	1.002379687	K15015	-0.367034578	NA	NA	NA	NA	K00102	NA	K11305	NA	NA	NA	NA	NA
K15430	-0.312950518	NA	NA	K08008	0.373119077	K15029	-0.338378029	NA	NA	NA	NA	K06491	NA	K11305	NA	NA	NA	NA	NA
K15438	-0.323469924	NA	NA	K08022	-0.828904847	K15029	-0.323010019	NA	NA	NA	NA	K04513	NA	K11305	NA	NA	NA	NA	NA
K15443	-0.377402899	NA	NA	K08024	-0.587329983	K15047	0.457394445	NA	NA	NA	NA	K17341	NA	K15156	NA	NA	NA	NA	NA
K15448	-0.644423981	NA	NA	K08026	0.433396916	K15048	0.257143963	NA	NA	NA	NA	K13525	NA	K12828	NA	NA	NA	NA	NA
K15449	0.326734421	NA	NA	K08069	0.284276688	K15048	0.90951927	NA	NA	NA	NA	K05305	NA	K12874	NA	NA	NA	NA	NA
K15537	-0.619379286	NA	NA	K08073	-0.822839668	K15050	0.377576722	NA	NA	NA	NA	K09656	NA	K12830	NA	NA	NA	NA	NA
K15716	0.38174761	NA	NA	K08074	0.223742518	K15104	-0.593658095	NA	NA	NA	NA	K01886	NA	K12830	NA	NA	NA	NA	NA
K15730	-0.550977589	NA	NA	K08076	-0.701783716	K15107	-1.108087685	NA	NA	NA	NA	K12396	NA	K13116	NA	NA	NA	NA	NA
K15837	-0.437841339	NA	NA	K08098	-0.232813514	K15107	-0.992042408	NA	NA	NA	NA	K14766	NA	K12856	NA	NA	NA	NA	NA
K16059	0.382140221	NA	NA	K08104	-0.924357257	K15113	-0.445799401	NA	NA	NA	NA	K10362	NA	K12856	NA	NA	NA	NA	NA
K16185	-0.347443236	NA	NA	K08105	-0.420286852	K15116	-0.565377168	NA	NA	NA	NA	K17387	NA	K12856	NA	NA	NA	NA	NA
K16194	0.419589317	NA	NA	K08110	0.642402666	K15118	-0.244403014	NA	NA	NA	NA	K04221	NA	K12856	NA	NA	NA	NA	NA
K16312	-0.274048043	NA	NA	K08136	-0.506306864	K15120	-0.503078123	NA	NA	NA	NA	K12035	NA	K12828	NA	NA	NA	NA	NA
K16330	0.663750812	NA	NA	K08149	-0.521475121	K15153	-0.317501612	NA	NA	NA	NA	K04559	NA	K03254	NA	NA	NA	NA	NA
K16344	-0.560365926	NA	NA	K08171	-0.542139364	K15162	0.499788241	NA	NA	NA	NA	K00232	NA	K18410	NA	NA	NA	NA	NA
K16449	0.603052661	NA	NA	K08187	-0.989866286	K15162	0.70061696	NA	NA	NA	NA	K09258	NA	K11647	NA	NA	NA	NA	NA
K16453	0.650665917	NA	NA	K08187	-0.839181769	K15188	0.771205091	NA	NA	NA	NA	K14026	NA	K18403	NA	NA	NA	NA	NA
K16458	0.634628661	NA	NA	K08187	-0.790402451	K15192	0.338229354	NA	NA	NA	NA	K13525	NA	K11789	NA	NA	NA	NA	NA
