Name,moduleColors,moduleID,GS.inf,GS.temp,GS.time,GS.met_Y
aug_v2a.02584,magenta,M13,-0.065959355,0.231071059,-0.472404816,-0.285837287
aug_v2a.02585,grey,M26,0.291898722,0.059015754,-0.148815267,-0.019862707
aug_v2a.17176,turquoise,M20,-0.329588027,0.339111063,0.215392847,0.184759041
aug_v2a.17177,yellow,M12,-0.412769207,-0.368242441,-0.26602003,-0.275406788
aug_v2a.17179,grey60,M4,0.141727122,-0.534029478,0.276347966,0.018204208
aug_v2a.17180,turquoise,M20,0.106357701,0.346849298,0.411698425,0.36829201
aug_v2a.17181,brown,M21,-0.048570385,-0.163473681,0.025061101,0.165903222
aug_v2a.17182,green,M18,0.300218717,0.073860113,0.456626031,0.282516838
aug_v2a.17183,brown,M21,0.262572972,0.093890466,0.239525643,0.356174977
aug_v2a.17185,black,M24,0.361952994,0.12141012,0.283903305,0.408376926
aug_v2a.17189,blue,M11,-0.363522062,-0.590416212,-0.269273925,-0.426357964
aug_v2a.17190,green,M18,0.361446291,0.144490937,0.528214732,0.495710367
aug_v2a.02587,blue,M11,-0.32641254,-0.489697689,-0.395877946,-0.38518257
aug_v2a.02588,yellow,M12,-0.361004286,0.091841515,-0.387206116,-0.310488788
aug_v2a.02589,brown,M21,0.260821952,0.199869674,-0.358993356,-0.014623757
aug_v2a.17191,purple,M6,0.155680163,-0.237935339,0.154901636,-0.055430921
aug_v2a.17192,green,M18,0.370386666,0.296710482,0.20653253,0.147608532
aug_v2a.17193,blue,M11,-0.370584758,-0.597450605,0.257368759,-0.050562228
aug_v2a.17194,brown,M21,0.085473376,0.217051592,-0.392503387,-0.117907443
aug_v2a.17195,green,M18,0.117563123,0.123857957,-0.081899715,-0.004565965
aug_v2a.17196,tan,M25,0.024600452,0.213033542,-0.588275386,-0.385477274
aug_v2a.02591,brown,M21,0.068476935,0.258357081,-0.30884602,-0.139904238
aug_v2a.02592,turquoise,M20,0.282481905,0.511634156,0.074442579,0.257889415
aug_v2a.17197,grey,M26,0.062131238,0.016107037,-0.328681753,-0.315623913
aug_v2a.17198,turquoise,M20,0.420696249,0.565688836,0.092085712,0.261415667
aug_v2a.17201,turquoise,M20,0.16699128,-0.385104608,0.088975762,-0.048415094
aug_v2a.17203,green,M18,0.257232613,0.149025367,0.66975759,0.594196099
aug_v2a.17204,magenta,M13,0.164426012,0.624973343,0.109843398,0.354782664
aug_v2a.17209,yellow,M12,-0.397949009,-0.493259641,-0.317553447,-0.398772807
aug_v2a.17210,brown,M21,0.135114487,0.431862037,-0.264029106,-0.11080351
