Name,AH.d1,AH.d3,SC.d1,SC.d3
aug_v2a.06778,0,0,1,0
aug_v2a.09501,1,0,1,0
aug_v2a.15535,0,0,1,0
aug_v2a.23200,1,1,1,0
aug_v2a.08899,0,0,1,0
aug_v2a.03838,1,0,1,0
aug_v2a.15662,1,0,1,0
aug_v2a.11774,0,0,1,0
aug_v2a.20835,0,0,1,0
aug_v2a.20446,0,0,1,0
aug_v2a.22104,0,0,1,0
aug_v2a.20823,1,0,1,0
aug_v2a.11643,0,0,1,0
aug_v2a.15389,0,1,1,0
aug_v2a.05400,0,0,1,0
aug_v2a.04527,0,0,1,0
aug_v2a.16555,0,0,1,0
aug_v2a.10712,0,1,1,0
aug_v2a.14931,0,0,1,0
aug_v2a.13472,0,0,1,0
aug_v2a.02794,1,0,1,0
aug_v2a.04777,1,0,1,0
aug_v2a.16477,0,0,1,0
aug_v2a.20001,0,0,1,0
aug_v2a.20637,1,0,1,0
aug_v2a.13247,0,0,1,0
aug_v2a.09579,0,0,1,0
aug_v2a.20688,0,0,1,0
aug_v2a.05320,0,0,1,0
aug_v2a.15580,0,0,1,0
aug_v2a.18448,0,0,1,0
aug_v2a.14654,1,0,1,0
aug_v2a.08352,0,0,1,0
aug_v2a.08241,0,0,1,0
aug_v2a.15459,1,1,1,0
aug_v2a.07535,0,0,1,0
aug_v2a.12923,0,0,1,0
aug_v2a.11458,1,1,1,0
aug_v2a.07315,1,0,1,0
aug_v2a.19794,0,0,1,0
aug_v2a.08806,0,0,1,0
aug_v2a.03951,1,1,1,0
aug_v2a.18468,0,0,1,0
aug_v2a.01688,1,0,1,0
aug_v2a.20270,1,0,1,0
aug_v2a.20737,0,0,1,0
aug_v2a.13223,1,0,1,0
aug_v2a.10463,0,0,1,0
aug_v2a.12346,0,0,1,0
aug_v2a.00357,0,0,1,0
aug_v2a.15536,0,0,1,0
aug_v2a.04814,0,0,1,0
aug_v2a.14401,0,1,1,0
aug_v2a.00938,1,0,1,0
aug_v2a.24032,0,0,1,0
aug_v2a.24541,1,0,1,0
aug_v2a.00991,0,0,1,0
aug_v2a.10171,1,0,1,0
aug_v2a.18007,0,0,1,0
aug_v2a.08422,0,0,1,0
aug_v2a.07661,1,0,1,0
aug_v2a.08683,1,0,1,0
aug_v2a.23086,0,0,1,0
aug_v2a.23786,0,0,1,0
aug_v2a.06451,0,0,1,0
aug_v2a.04764,0,0,1,0
aug_v2a.07547,1,0,1,0
aug_v2a.07689,1,0,1,0
aug_v2a.21374,0,0,1,0
aug_v2a.10519,1,0,1,0
aug_v2a.04914,0,1,1,1
aug_v2a.23096,0,0,1,0
aug_v2a.18593,1,0,1,0
aug_v2a.00294,0,0,1,0
aug_v2a.13851,0,0,1,0
aug_v2a.07018,1,0,1,0
aug_v2a.12226,0,0,1,0
aug_v2a.24303,1,1,1,0
aug_v2a.00136,1,0,1,0
aug_v2a.24037,1,0,1,0
aug_v2a.19951,0,0,1,0
aug_v2a.18377,0,0,1,0
aug_v2a.02810,0,0,1,0
aug_v2a.04464,0,0,1,0
aug_v2a.22391,0,0,1,0
aug_v2a.22372,0,0,1,0
aug_v2a.00716,0,0,1,0
aug_v2a.17028,0,0,1,0
aug_v2a.16707,0,0,1,0
aug_v2a.22873,1,0,1,0
aug_v2a.18192,0,0,1,0
aug_v2a.20564,1,0,1,0
aug_v2a.03843,1,0,1,0
aug_v2a.08793,1,0,1,0
aug_v2a.15297,0,1,1,0
aug_v2a.17811,0,0,1,0
aug_v2a.05589,0,0,1,0
aug_v2a.12932,1,0,1,0
aug_v2a.02753,1,0,1,0
aug_v2a.10464,0,0,1,0
aug_v2a.07346,0,0,1,0
aug_v2a.15768,1,0,1,0
aug_v2a.20246,1,0,1,0
aug_v2a.07473,0,0,1,0
aug_v2a.03187,0,0,1,0
aug_v2a.19362,0,0,1,0
aug_v2a.03842,1,0,1,0
aug_v2a.12408,0,0,1,0
aug_v2a.24022,1,0,1,0
aug_v2a.02122,1,0,1,0
aug_v2a.11416,0,0,1,0
aug_v2a.00359,1,0,1,0
aug_v2a.21578,1,1,1,0
aug_v2a.01573,0,0,1,0
aug_v2a.00986,1,0,1,0
aug_v2a.24430,1,0,1,0
aug_v2a.07749,0,0,1,0
aug_v2a.15107,0,0,1,0
aug_v2a.00358,0,0,1,0
aug_v2a.06926,0,0,1,0
aug_v2a.00667,1,0,1,0
aug_v2a.02309,0,0,1,0
aug_v2a.16413,1,0,1,0
aug_v2a.03786,1,0,1,0
aug_v2a.15609,0,0,1,0
aug_v2a.03503,1,0,1,0
aug_v2a.04329,1,1,1,0
aug_v2a.01341,0,0,1,0
aug_v2a.04077,1,1,1,0
aug_v2a.10559,1,0,1,0
aug_v2a.17517,0,0,1,0
aug_v2a.22343,0,0,1,0
aug_v2a.03065,1,0,1,0
aug_v2a.06462,0,0,1,0
aug_v2a.20263,0,0,1,0
aug_v2a.04354,0,0,1,0
aug_v2a.11296,1,0,1,0
aug_v2a.20755,0,0,1,0
aug_v2a.12071,0,0,1,0
aug_v2a.12767,1,0,1,0
aug_v2a.03477,1,0,1,0
aug_v2a.12703,0,0,1,0
aug_v2a.01329,0,0,1,0
aug_v2a.16324,0,0,1,0
aug_v2a.19595,0,0,1,0
aug_v2a.02486,1,0,1,0
aug_v2a.03717,1,0,1,0
aug_v2a.22559,1,0,1,0
aug_v2a.04707,1,0,1,0
aug_v2a.15647,0,0,1,0
aug_v2a.00708,1,0,1,0
aug_v2a.05539,1,0,1,0
aug_v2a.03591,1,0,1,0
aug_v2a.13243,0,0,1,0
aug_v2a.11437,1,0,1,0
aug_v2a.05848,0,0,1,0
aug_v2a.24600,1,0,1,0
aug_v2a.01377,0,0,1,1
aug_v2a.09872,0,0,1,0
aug_v2a.15468,1,1,1,0
aug_v2a.06652,0,0,1,0
aug_v2a.11148,0,0,1,0
aug_v2a.08861,0,0,1,0
aug_v2a.16860,1,0,1,0
aug_v2a.08386,1,0,1,0
aug_v2a.05727,0,0,1,0
aug_v2a.01098,1,0,1,0
aug_v2a.21046,1,0,1,0
aug_v2a.20384,0,0,1,0
aug_v2a.07407,0,0,1,0
aug_v2a.04508,0,0,1,0
aug_v2a.18980,1,0,1,0
aug_v2a.05545,0,0,1,0
aug_v2a.06725,0,0,1,0
aug_v2a.00065,0,0,1,0
aug_v2a.24205,0,0,1,0
aug_v2a.07001,1,0,1,0
aug_v2a.11615,0,0,1,0
aug_v2a.03529,1,0,1,0
aug_v2a.12959,0,0,1,0
aug_v2a.02700,1,0,1,0
aug_v2a.12936,1,0,1,0
aug_v2a.16094,0,0,1,0
aug_v2a.01659,0,0,1,0
aug_v2a.15139,1,0,1,0
aug_v2a.18014,0,0,1,0
aug_v2a.05315,0,0,1,0
aug_v2a.02956,0,0,1,0
aug_v2a.17601,0,0,1,0
aug_v2a.17061,1,0,1,0
aug_v2a.20096,0,0,1,0
aug_v2a.01988,0,0,1,0
aug_v2a.17045,0,0,1,0
aug_v2a.06806,0,0,1,0
aug_v2a.04298,1,0,1,0
aug_v2a.03813,0,0,1,0
aug_v2a.22025,0,0,1,1
aug_v2a.16739,0,0,1,0
aug_v2a.02589,1,0,1,0
aug_v2a.01691,1,0,1,0
aug_v2a.21265,0,0,1,0
aug_v2a.14224,1,0,1,0
aug_v2a.00957,0,0,1,0
aug_v2a.04338,0,0,1,0
aug_v2a.21252,0,0,1,0
aug_v2a.16080,0,0,1,0
aug_v2a.23547,1,0,1,0
aug_v2a.21950,1,1,1,0
aug_v2a.20842,0,0,1,0
aug_v2a.19454,0,0,1,0
aug_v2a.17908,1,0,1,0
aug_v2a.07039,0,0,1,0
aug_v2a.22970,0,0,1,0
aug_v2a.22737,0,0,1,0
aug_v2a.10170,0,0,1,0
aug_v2a.13590,1,0,1,0
aug_v2a.02475,1,0,1,0
aug_v2a.24677,0,0,1,0
aug_v2a.20453,0,0,1,0
aug_v2a.17682,1,0,1,0
aug_v2a.04333,1,0,1,0
aug_v2a.03066,0,0,1,0
aug_v2a.04399,0,0,1,0
aug_v2a.22595,0,0,1,0
aug_v2a.00412,1,0,1,0
aug_v2a.08724,1,0,1,0
aug_v2a.12605,1,0,1,0
